datetime,open,high,low,close,volume
2025-10-17 09:15:00+05:30,25546.85,25565.65,25508.6,25554.05,25735247
2025-10-17 09:20:00+05:30,25553.2,25563.7,25537.3,25556.45,12915145
2025-10-17 09:25:00+05:30,25556.5,25604.65,25547.55,25604.4,11961812
2025-10-17 09:30:00+05:30,25604.55,25610.05,25596.25,25606.9,8793366
2025-10-17 09:35:00+05:30,25606.75,25619.0,25599.3,25615.9,8262682
2025-10-17 09:40:00+05:30,25616.7,25623.95,25603.2,25618.9,7219605
2025-10-17 09:45:00+05:30,25619.05,25620.85,25575.55,25576.3,6692681
2025-10-17 09:50:00+05:30,25576.25,25595.2,25562.55,25593.45,7834323
2025-10-17 09:55:00+05:30,25593.65,25611.85,25591.65,25603.2,3855937
2025-10-17 10:00:00+05:30,25603.35,25625.05,25603.15,25618.75,5918971
2025-10-17 10:05:00+05:30,25617.85,25660.25,25617.05,25659.85,4935618
2025-10-17 10:10:00+05:30,25658.75,25677.4,25658.0,25670.15,4574533
2025-10-17 10:15:00+05:30,25669.75,25685.25,25667.9,25671.4,5060598
2025-10-17 10:20:00+05:30,25672.75,25676.5,25665.1,25673.05,4614431
2025-10-17 10:25:00+05:30,25671.95,25679.95,25670.7,25676.1,4400334
2025-10-17 10:30:00+05:30,25677.1,25693.3,25674.65,25691.1,3826618
2025-10-17 10:35:00+05:30,25691.35,25699.05,25676.8,25683.1,4238891
2025-10-17 10:40:00+05:30,25683.5,25692.5,25678.05,25689.7,3248632
2025-10-17 10:45:00+05:30,25692.95,25701.1,25684.9,25691.6,3205619
2025-10-17 10:50:00+05:30,25690.25,25712.45,25685.05,25707.25,3583962
2025-10-17 10:55:00+05:30,25707.6,25729.15,25706.5,25727.75,3772405
2025-10-17 11:00:00+05:30,25727.7,25750.85,25727.5,25739.5,6391450
2025-10-17 11:05:00+05:30,25739.8,25745.95,25727.05,25743.55,4564730
2025-10-17 11:10:00+05:30,25744.25,25757.95,25743.65,25750.65,5060999
2025-10-17 11:15:00+05:30,25751.05,25759.7,25749.45,25754.0,3755604
2025-10-17 11:20:00+05:30,25754.45,25760.2,25744.25,25753.0,5473056
2025-10-17 11:25:00+05:30,25753.25,25771.75,25750.55,25766.4,3722630
2025-10-17 11:30:00+05:30,25767.65,25774.6,25760.7,25769.2,4212245
2025-10-17 11:35:00+05:30,25770.2,25776.75,25759.35,25763.3,4183023
2025-10-17 11:40:00+05:30,25763.7,25764.7,25730.8,25743.35,5937072
2025-10-17 11:45:00+05:30,25742.05,25754.1,25728.5,25753.5,4255945
2025-10-17 11:50:00+05:30,25752.9,25752.9,25710.4,25741.55,5020715
2025-10-17 11:55:00+05:30,25741.05,25756.9,25730.5,25754.85,3938072
2025-10-17 12:00:00+05:30,25754.75,25761.35,25746.35,25759.6,2958437
2025-10-17 12:05:00+05:30,25761.55,25761.55,25750.25,25757.7,2953827
2025-10-17 12:10:00+05:30,25759.7,25768.65,25757.2,25760.6,3150504
2025-10-17 12:15:00+05:30,25763.95,25768.5,25738.7,25766.9,4271784
2025-10-17 12:20:00+05:30,25769.2,25774.75,25756.35,25774.45,3281136
2025-10-17 12:25:00+05:30,25775.45,25781.5,25769.25,25776.75,2267980
2025-10-17 12:30:00+05:30,25778.4,25778.55,25770.8,25774.1,3031173
2025-10-17 12:35:00+05:30,25775.55,25775.55,25756.45,25760.25,2683367
2025-10-17 12:40:00+05:30,25762.55,25766.3,25750.5,25756.4,3583738
2025-10-17 12:45:00+05:30,25757.65,25770.4,25719.15,25738.2,5630908
2025-10-17 12:50:00+05:30,25740.75,25740.75,25685.85,25698.45,5343329
2025-10-17 12:55:00+05:30,25700.9,25708.15,25684.75,25701.2,4464749
2025-10-17 13:00:00+05:30,25703.45,25716.25,25672.2,25674.85,5022402
2025-10-17 13:05:00+05:30,25675.85,25682.1,25652.8,25666.85,5804355
2025-10-17 13:10:00+05:30,25668.6,25687.9,25656.3,25668.75,8562725
2025-10-17 13:15:00+05:30,25670.25,25689.4,25663.65,25672.05,6095077
2025-10-17 13:20:00+05:30,25673.9,25698.5,25671.75,25688.15,4270114
2025-10-17 13:25:00+05:30,25689.65,25705.2,25676.8,25677.35,5209026
2025-10-17 13:30:00+05:30,25682.05,25684.2,25647.35,25650.7,4203814
2025-10-17 13:35:00+05:30,25652.1,25652.1,25620.45,25642.6,5455511
2025-10-17 13:40:00+05:30,25643.05,25675.15,25640.45,25663.2,6690584
2025-10-17 13:45:00+05:30,25664.55,25664.55,25642.65,25652.6,3579026
2025-10-17 13:50:00+05:30,25654.55,25657.6,25632.85,25642.6,3954886
2025-10-17 13:55:00+05:30,25644.5,25675.85,25637.65,25673.9,3477316
2025-10-17 14:00:00+05:30,25677.4,25679.05,25658.6,25674.0,3403545
2025-10-17 14:05:00+05:30,25675.55,25688.0,25666.7,25686.55,3539061
2025-10-17 14:10:00+05:30,25688.35,25709.1,25677.05,25682.1,4301112
2025-10-17 14:15:00+05:30,25683.95,25705.85,25658.25,25699.3,3817112
2025-10-17 14:20:00+05:30,25701.15,25715.5,25694.2,25710.25,4207561
2025-10-17 14:25:00+05:30,25711.85,25721.0,25679.5,25679.5,5613736
2025-10-17 14:30:00+05:30,25683.0,25707.2,25672.3,25705.45,3558231
2025-10-17 14:35:00+05:30,25706.95,25739.0,25704.35,25729.45,5783138
2025-10-17 14:40:00+05:30,25732.25,25742.0,25718.2,25731.1,6766407
2025-10-17 14:45:00+05:30,25732.8,25751.7,25719.55,25723.4,5587328
2025-10-17 14:50:00+05:30,25724.95,25733.95,25702.15,25729.15,6775193
2025-10-17 14:55:00+05:30,25731.35,25735.85,25721.6,25725.1,4312633
2025-10-17 15:00:00+05:30,25725.95,25725.95,25704.85,25710.65,6250925
2025-10-17 15:05:00+05:30,25712.15,25724.45,25710.0,25713.5,7465501
2025-10-17 15:10:00+05:30,25713.8,25713.8,25698.55,25708.35,9688332
2025-10-17 15:15:00+05:30,25708.3,25716.85,25703.4,25711.5,10559796
2025-10-17 15:20:00+05:30,25711.5,25717.35,25702.1,25703.9,10922053
2025-10-17 15:25:00+05:30,25703.4,25707.6,25696.0,25704.7,8980271
2025-10-20 09:15:00+05:30,25824.6,25918.15,25809.6,25902.8,19630409
2025-10-20 09:20:00+05:30,25903.25,25926.2,25859.15,25859.15,8738166
2025-10-20 09:25:00+05:30,25859.95,25880.45,25829.1,25878.65,6461909
2025-10-20 09:30:00+05:30,25879.4,25895.3,25865.45,25872.7,5414947
2025-10-20 09:35:00+05:30,25872.6,25882.3,25838.15,25852.3,6191522
2025-10-20 09:40:00+05:30,25851.9,25870.15,25835.0,25840.9,4850691
2025-10-20 09:45:00+05:30,25840.55,25845.7,25788.5,25820.2,4152306
2025-10-20 09:50:00+05:30,25820.15,25820.65,25797.75,25809.35,3436927
2025-10-20 09:55:00+05:30,25809.35,25834.75,25791.55,25808.55,3341189
2025-10-20 10:00:00+05:30,25806.85,25839.95,25795.9,25834.15,4683635
2025-10-20 10:05:00+05:30,25833.55,25852.3,25819.2,25838.45,3185852
2025-10-20 10:10:00+05:30,25838.45,25858.65,25835.35,25856.55,2597664
2025-10-20 10:15:00+05:30,25859.2,25862.45,25833.7,25843.55,3686031
2025-10-20 10:20:00+05:30,25844.05,25851.45,25831.6,25851.05,3515024
2025-10-20 10:25:00+05:30,25851.45,25854.25,25826.5,25832.9,2297741
2025-10-20 10:30:00+05:30,25832.05,25838.65,25816.35,25837.75,2300704
2025-10-20 10:35:00+05:30,25836.9,25860.3,25833.15,25857.3,2402478
2025-10-20 10:40:00+05:30,25857.3,25867.2,25847.05,25862.75,4154380
2025-10-20 10:45:00+05:30,25863.0,25885.35,25862.15,25883.85,3791906
2025-10-20 10:50:00+05:30,25883.05,25887.85,25876.9,25879.6,4250008
2025-10-20 10:55:00+05:30,25879.3,25886.75,25861.3,25881.0,3978086
2025-10-20 11:00:00+05:30,25879.4,25892.95,25869.0,25875.7,3912281
2025-10-20 11:05:00+05:30,25876.0,25881.3,25868.05,25877.1,3609764
