SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-06-02 10:15:00+05:30,2025-06-02 10:20:00+05:30,300,BUY_PE,24550,183.55,2025-06-02 10:25:00+05:30,179.2,SL Hit (GAP UP),158.55,158.55,False,-4.35,-326.25
2025-06-02 10:55:00+05:30,2025-06-02 11:00:00+05:30,300,BUY_PE,24550,175.35,2025-06-02 11:05:00+05:30,172.4,SL Hit (GAP UP),150.64,150.64,False,-2.95,-221.25
2025-06-02 11:15:00+05:30,2025-06-02 11:20:00+05:30,300,BUY_CE,24550,281.35,2025-06-02 11:40:00+05:30,256.35,SL Hit,256.35,256.35,False,-25.0,-1875.0
2025-06-02 12:00:00+05:30,2025-06-02 12:05:00+05:30,300,BUY_CE,24550,293.1,2025-06-02 12:15:00+05:30,302.85,Locked Profit Hit (GAP DOWN),303.1,268.1,True,9.75,731.25
2025-06-02 12:30:00+05:30,2025-06-02 12:35:00+05:30,300,BUY_CE,24550,345.55,2025-06-02 12:40:00+05:30,353.55,Safe SL Hit,353.55,320.55,True,8.0,600.0
2025-06-02 13:10:00+05:30,2025-06-02 13:15:00+05:30,300,BUY_CE,24550,325.5,2025-06-02 13:20:00+05:30,327.05,Safe SL Hit (GAP DOWN),333.5,300.5,True,1.55,116.25
2025-06-02 13:25:00+05:30,2025-06-02 13:30:00+05:30,300,BUY_CE,24550,319.7,2025-06-02 13:35:00+05:30,314.1,Locked Profit Hit (GAP DOWN),329.7,294.7,True,-5.6,-420.0
2025-06-02 14:15:00+05:30,2025-06-02 14:20:00+05:30,300,BUY_PE,24550,146.65,2025-06-02 14:25:00+05:30,146.75,SL Hit (GAP UP),129.91,129.91,False,0.1,7.5
2025-06-02 14:30:00+05:30,2025-06-02 14:35:00+05:30,300,BUY_PE,24550,153.5,2025-06-02 14:40:00+05:30,153.4,SL Hit (GAP UP),133.86,133.86,False,-0.1,-7.5
2025-06-02 14:55:00+05:30,2025-06-02 15:00:00+05:30,300,BUY_CE,24550,328.1,2025-06-02 15:05:00+05:30,338.1,Locked Profit Hit,338.1,303.1,True,10.0,750.0
2025-06-03 10:15:00+05:30,2025-06-03 10:20:00+05:30,300,BUY_CE,24700,236.75,2025-06-03 10:25:00+05:30,246.75,Locked Profit Hit,246.75,211.75,True,10.0,750.0
2025-06-03 10:35:00+05:30,2025-06-03 10:40:00+05:30,300,BUY_PE,24700,223.45,2025-06-03 10:45:00+05:30,232.3,Safe SL Hit (GAP UP),231.45,198.45,True,8.85,663.75
2025-06-03 11:00:00+05:30,2025-06-03 11:05:00+05:30,300,BUY_PE,24700,226.75,2025-06-03 11:10:00+05:30,236.75,Locked Profit Hit,236.75,201.75,True,10.0,750.0
2025-06-03 11:20:00+05:30,2025-06-03 11:25:00+05:30,300,BUY_PE,24700,249.95,2025-06-03 11:30:00+05:30,232.35,SL Hit (GAP UP),224.95,224.95,False,-17.6,-1320.0
2025-06-03 11:35:00+05:30,2025-06-03 11:40:00+05:30,300,BUY_PE,24700,238.25,2025-06-03 11:45:00+05:30,250.5,Locked Profit Hit (GAP UP),248.25,213.25,True,12.25,918.75
2025-06-03 12:50:00+05:30,2025-06-03 12:55:00+05:30,300,BUY_PE,24700,299.35,2025-06-03 13:00:00+05:30,295.15,SL Hit (GAP UP),274.35,274.35,False,-4.2,-315.0
2025-06-03 13:05:00+05:30,2025-06-03 13:10:00+05:30,300,BUY_PE,24700,294.75,2025-06-03 13:15:00+05:30,276.55,SL Hit (GAP UP),269.75,269.75,False,-18.2,-1365.0
2025-06-03 13:35:00+05:30,2025-06-03 13:40:00+05:30,300,BUY_PE,24700,223.4,2025-06-03 13:45:00+05:30,231.4,Safe SL Hit,231.4,198.4,True,8.0,600.0
2025-06-03 13:50:00+05:30,2025-06-03 13:55:00+05:30,300,BUY_PE,24700,212.5,2025-06-03 14:00:00+05:30,200.75,SL Hit (GAP UP),187.5,187.5,False,-11.75,-881.25
2025-06-03 14:35:00+05:30,2025-06-03 14:40:00+05:30,300,BUY_CE,24700,106.4,2025-06-03 15:20:00+05:30,86.38,SL Hit,86.38,86.38,False,-20.02,-1501.5
2025-06-04 10:20:00+05:30,2025-06-04 10:25:00+05:30,300,BUY_CE,24550,115.55,2025-06-04 10:40:00+05:30,114.4,Safe SL Hit (GAP DOWN),123.55,90.55,True,-1.15,-86.25
2025-06-04 11:35:00+05:30,2025-06-04 11:40:00+05:30,300,BUY_CE,24550,114.75,2025-06-04 13:00:00+05:30,115.4,Safe SL Hit (GAP DOWN),122.75,95.2,True,0.65,48.75
2025-06-04 13:25:00+05:30,2025-06-04 13:30:00+05:30,300,BUY_CE,24550,114.2,2025-06-04 13:50:00+05:30,116.45,Safe SL Hit (GAP DOWN),122.2,97.84,True,2.25,168.75
2025-06-04 14:00:00+05:30,2025-06-04 14:05:00+05:30,300,BUY_CE,24550,120.65,2025-06-04 14:55:00+05:30,122.45,Safe SL Hit (GAP DOWN),128.65,102.05,True,1.8,135.0
2025-06-05 11:25:00+05:30,2025-06-05 11:30:00+05:30,300,BUY_CE,24650,93.95,2025-06-05 11:45:00+05:30,68.95,SL Hit,68.95,68.95,False,-25.0,-1875.0
2025-06-05 12:00:00+05:30,2025-06-05 12:05:00+05:30,300,BUY_CE,24650,162.5,2025-06-05 12:10:00+05:30,180.3,ATR Trail Hit (GAP DOWN),220.94,137.5,True,17.8,1335.0
2025-06-05 12:15:00+05:30,2025-06-05 12:20:00+05:30,300,BUY_CE,24650,218.35,2025-06-05 12:25:00+05:30,193.35,SL Hit,193.35,193.35,False,-25.0,-1875.0
2025-06-05 12:30:00+05:30,2025-06-05 12:35:00+05:30,300,BUY_CE,24650,168.25,2025-06-05 12:40:00+05:30,157.8,Locked Profit Hit (GAP DOWN),178.25,143.25,True,-10.45,-783.75
2025-06-05 13:45:00+05:30,2025-06-05 13:50:00+05:30,300,BUY_PE,24650,10.8,2025-06-05 13:55:00+05:30,12.45,SL Hit (GAP UP),0.26,0.26,False,1.65,123.75
2025-06-05 14:00:00+05:30,2025-06-05 14:05:00+05:30,300,BUY_PE,24650,12.0,2025-06-05 14:10:00+05:30,11.35,SL Hit (GAP UP),-1.36,-1.36,False,-0.65,-48.75
2025-06-05 15:00:00+05:30,2025-06-05 15:05:00+05:30,300,BUY_PE,24650,0.75,2025-06-05 15:10:00+05:30,0.15,SL Hit (GAP UP),-8.67,-8.67,False,-0.6,-45.0
2025-06-06 10:20:00+05:30,2025-06-06 10:25:00+05:30,300,BUY_CE,24750,204.5,2025-06-06 10:30:00+05:30,227.8,ATR Trail Hit (GAP DOWN),229.32,179.5,True,23.3,1747.5
2025-06-06 10:35:00+05:30,2025-06-06 10:40:00+05:30,300,BUY_CE,24750,266.3,2025-06-06 10:45:00+05:30,301.95,ATR Trail Hit (GAP DOWN),304.29,241.3,True,35.65,2673.75
2025-06-06 11:00:00+05:30,2025-06-06 11:05:00+05:30,300,BUY_CE,24750,349.15,2025-06-06 11:15:00+05:30,349.7,Safe SL Hit (GAP DOWN),357.15,324.15,True,0.55,41.25
2025-06-06 11:20:00+05:30,2025-06-06 11:25:00+05:30,300,BUY_CE,24750,340.3,2025-06-06 11:40:00+05:30,346.5,Locked Profit Hit (GAP DOWN),350.3,315.3,True,6.2,465.0
2025-06-06 11:45:00+05:30,2025-06-06 11:50:00+05:30,300,BUY_CE,24750,371.5,2025-06-06 11:55:00+05:30,379.2,Locked Profit Hit (GAP DOWN),381.5,346.5,True,7.7,577.5
2025-06-06 12:00:00+05:30,2025-06-06 12:05:00+05:30,300,BUY_CE,24750,381.15,2025-06-06 12:15:00+05:30,356.15,SL Hit,356.15,356.15,False,-25.0,-1875.0
2025-06-06 12:55:00+05:30,2025-06-06 13:00:00+05:30,300,BUY_CE,24750,336.05,2025-06-06 13:35:00+05:30,332.0,Safe SL Hit (GAP DOWN),344.05,311.05,True,-4.05,-303.75
2025-06-06 14:15:00+05:30,2025-06-06 14:20:00+05:30,300,BUY_CE,24750,348.75,2025-06-06 14:25:00+05:30,358.75,Locked Profit Hit,358.75,323.75,True,10.0,750.0
2025-06-06 14:50:00+05:30,2025-06-06 14:55:00+05:30,300,BUY_CE,24750,347.15,2025-06-06 15:00:00+05:30,351.85,Safe SL Hit (GAP DOWN),355.15,322.15,True,4.7,352.5
2025-06-09 10:15:00+05:30,2025-06-09 10:20:00+05:30,300,BUY_CE,25100,156.3,2025-06-09 10:25:00+05:30,160.95,Safe SL Hit (GAP DOWN),164.3,131.3,True,4.65,348.75
2025-06-09 10:40:00+05:30,2025-06-09 10:45:00+05:30,300,BUY_CE,25100,167.0,2025-06-09 11:40:00+05:30,144.19,SL Hit,144.19,144.19,False,-22.81,-1710.75
2025-06-09 11:50:00+05:30,2025-06-09 11:55:00+05:30,300,BUY_PE,25100,141.35,2025-06-09 12:00:00+05:30,139.2,SL Hit (GAP UP),127.21,127.21,False,-2.15,-161.25
2025-06-09 12:05:00+05:30,2025-06-09 12:10:00+05:30,300,BUY_PE,25100,136.55,2025-06-09 12:15:00+05:30,136.25,SL Hit (GAP UP),122.8,122.8,False,-0.3,-22.5
2025-06-09 13:20:00+05:30,2025-06-09 13:25:00+05:30,300,BUY_PE,25100,135.95,2025-06-09 13:30:00+05:30,134.0,SL Hit (GAP UP),124.57,124.57,False,-1.95,-146.25
2025-06-09 14:15:00+05:30,2025-06-09 14:20:00+05:30,300,BUY_PE,25100,136.35,2025-06-09 14:25:00+05:30,136.85,SL Hit (GAP UP),124.66,124.66,False,0.5,37.5
2025-06-09 14:40:00+05:30,2025-06-09 14:45:00+05:30,300,BUY_PE,25100,128.0,2025-06-09 14:50:00+05:30,126.4,SL Hit (GAP UP),116.39,116.39,False,-1.6,-120.0
2025-06-09 14:55:00+05:30,2025-06-09 15:00:00+05:30,300,BUY_PE,25100,131.7,2025-06-09 15:05:00+05:30,130.4,SL Hit (GAP UP),120.31,120.31,False,-1.3,-97.5
2025-06-10 10:15:00+05:30,2025-06-10 10:20:00+05:30,300,BUY_CE,25150,115.65,2025-06-10 10:30:00+05:30,90.65,SL Hit,90.65,90.65,False,-25.0,-1875.0
2025-06-10 10:35:00+05:30,2025-06-10 10:40:00+05:30,300,BUY_CE,25150,104.1,2025-06-10 12:20:00+05:30,79.1,SL Hit,79.1,79.1,False,-25.0,-1875.0
2025-06-10 12:25:00+05:30,2025-06-10 12:30:00+05:30,300,BUY_PE,25150,101.1,2025-06-10 12:35:00+05:30,94.0,SL Hit (GAP UP),90.76,90.76,False,-7.1,-532.5
2025-06-10 12:40:00+05:30,2025-06-10 12:45:00+05:30,300,BUY_CE,25150,82.15,2025-06-10 14:10:00+05:30,73.41,SL Hit,73.41,73.41,False,-8.74,-655.5
2025-06-10 14:40:00+05:30,2025-06-10 14:45:00+05:30,300,BUY_PE,25150,106.95,2025-06-10 14:50:00+05:30,107.25,SL Hit (GAP UP),96.07,96.07,False,0.3,22.5
2025-06-10 14:55:00+05:30,2025-06-10 15:00:00+05:30,300,BUY_PE,25150,115.5,2025-06-10 15:05:00+05:30,129.65,Locked Profit Hit (GAP UP),125.5,101.66,True,14.15,1061.25
2025-06-11 10:15:00+05:30,2025-06-11 10:20:00+05:30,300,BUY_CE,25150,64.45,2025-06-11 10:40:00+05:30,58.0,ATR Trail Hit (GAP DOWN),79.98,44.41,True,-6.45,-483.75
2025-06-11 10:45:00+05:30,2025-06-11 10:50:00+05:30,300,BUY_CE,25150,80.95,2025-06-11 10:55:00+05:30,82.6,Safe SL Hit (GAP DOWN),88.95,60.47,True,1.65,123.75
2025-06-11 11:10:00+05:30,2025-06-11 11:15:00+05:30,300,BUY_CE,25150,94.2,2025-06-11 11:20:00+05:30,101.55,Safe SL Hit (GAP DOWN),102.2,70.89,True,7.35,551.25
2025-06-11 11:25:00+05:30,2025-06-11 11:30:00+05:30,300,BUY_CE,25150,101.6,2025-06-11 11:50:00+05:30,100.3,Locked Profit Hit (GAP DOWN),111.6,77.9,True,-1.3,-97.5
2025-06-11 11:55:00+05:30,2025-06-11 12:00:00+05:30,300,BUY_CE,25150,117.55,2025-06-11 12:35:00+05:30,96.28,SL Hit,96.28,96.28,False,-21.27,-1595.25
2025-06-11 13:10:00+05:30,2025-06-11 13:15:00+05:30,300,BUY_CE,25150,108.0,2025-06-11 13:25:00+05:30,88.05,SL Hit,88.05,88.05,False,-19.95,-1496.25
2025-06-11 13:30:00+05:30,2025-06-11 13:35:00+05:30,300,BUY_PE,25150,61.5,2025-06-11 13:40:00+05:30,59.75,SL Hit (GAP UP),51.66,51.66,False,-1.75,-131.25
2025-06-11 13:45:00+05:30,2025-06-11 13:50:00+05:30,300,BUY_PE,25150,83.65,2025-06-11 13:55:00+05:30,97.0,Safe SL Hit (GAP UP),91.65,69.32,True,13.35,1001.25
2025-06-11 14:05:00+05:30,2025-06-11 14:10:00+05:30,300,BUY_PE,25150,94.0,2025-06-11 14:15:00+05:30,87.5,SL Hit (GAP UP),73.52,73.52,False,-6.5,-487.5
2025-06-11 14:25:00+05:30,2025-06-11 14:30:00+05:30,300,BUY_PE,25150,81.0,2025-06-11 14:35:00+05:30,81.6,SL Hit (GAP UP),57.47,57.47,False,0.6,45.0
2025-06-11 14:40:00+05:30,2025-06-11 14:45:00+05:30,300,BUY_PE,25150,83.65,2025-06-11 14:50:00+05:30,79.7,SL Hit (GAP UP),59.45,59.45,False,-3.95,-296.25
2025-06-11 15:05:00+05:30,2025-06-11 15:10:00+05:30,300,BUY_PE,25150,79.65,2025-06-11 15:15:00+05:30,77.35,SL Hit (GAP UP),62.59,62.59,False,-2.3,-172.5
2025-06-12 10:15:00+05:30,2025-06-12 10:20:00+05:30,300,BUY_PE,25050,36.35,2025-06-12 10:25:00+05:30,31.25,SL Hit (GAP UP),11.35,11.35,False,-5.1,-382.5
2025-06-12 10:35:00+05:30,2025-06-12 10:40:00+05:30,300,BUY_PE,25050,30.85,2025-06-12 10:45:00+05:30,64.5,ATR Trail Hit (GAP UP),50.08,5.85,True,33.65,2523.75
2025-06-12 10:55:00+05:30,2025-06-12 11:00:00+05:30,300,BUY_PE,25050,51.55,2025-06-12 11:05:00+05:30,49.35,SL Hit (GAP UP),26.55,26.55,False,-2.2,-165.0
2025-06-12 11:10:00+05:30,2025-06-12 11:15:00+05:30,300,BUY_PE,25050,56.25,2025-06-12 11:20:00+05:30,37.25,SL Hit (GAP UP),31.25,31.25,False,-19.0,-1425.0
2025-06-12 11:35:00+05:30,2025-06-12 11:40:00+05:30,300,BUY_PE,25050,63.05,2025-06-12 11:45:00+05:30,54.65,SL Hit (GAP UP),38.05,38.05,False,-8.4,-630.0
2025-06-12 11:50:00+05:30,2025-06-12 11:55:00+05:30,300,BUY_PE,25050,58.85,2025-06-12 12:00:00+05:30,68.85,Locked Profit Hit,68.85,33.85,True,10.0,750.0
2025-06-12 12:10:00+05:30,2025-06-12 12:15:00+05:30,300,BUY_PE,25050,55.65,2025-06-12 12:20:00+05:30,59.8,SL Hit (GAP UP),30.65,30.65,False,4.15,311.25
2025-06-12 12:35:00+05:30,2025-06-12 12:40:00+05:30,300,BUY_PE,25050,54.15,2025-06-12 12:45:00+05:30,45.05,SL Hit (GAP UP),29.15,29.15,False,-9.1,-682.5
2025-06-12 12:50:00+05:30,2025-06-12 12:55:00+05:30,300,BUY_CE,25050,40.25,2025-06-12 13:25:00+05:30,19.44,SL Hit,19.44,19.44,False,-20.81,-1560.75
2025-06-12 13:30:00+05:30,2025-06-12 13:35:00+05:30,300,BUY_PE,25050,131.35,2025-06-12 13:40:00+05:30,147.0,ATR Trail Hit (GAP UP),143.53,106.35,True,15.65,1173.75
2025-06-12 13:45:00+05:30,2025-06-12 13:50:00+05:30,300,BUY_PE,25050,193.95,2025-06-12 13:55:00+05:30,173.7,SL Hit (GAP UP),168.95,168.95,False,-20.25,-1518.75
2025-06-12 14:00:00+05:30,2025-06-12 14:05:00+05:30,300,BUY_PE,25050,214.7,2025-06-12 14:10:00+05:30,233.0,Locked Profit Hit (GAP UP),224.7,189.7,True,18.3,1372.5
2025-06-12 14:25:00+05:30,2025-06-12 14:30:00+05:30,300,BUY_PE,25050,194.5,2025-06-12 14:35:00+05:30,169.5,SL Hit,169.5,169.5,False,-25.0,-1875.0
2025-06-13 10:15:00+05:30,2025-06-13 10:20:00+05:30,300,BUY_PE,24600,180.2,2025-06-13 10:25:00+05:30,170.0,SL Hit (GAP UP),155.2,155.2,False,-10.2,-765.0
2025-06-13 10:30:00+05:30,2025-06-13 10:35:00+05:30,300,BUY_PE,24600,162.05,2025-06-13 10:40:00+05:30,160.3,SL Hit (GAP UP),137.05,137.05,False,-1.75,-131.25
2025-06-13 11:50:00+05:30,2025-06-13 11:55:00+05:30,300,BUY_CE,24600,226.3,2025-06-13 12:15:00+05:30,233.0,ATR Trail Hit (GAP DOWN),252.79,201.88,True,6.7,502.5
2025-06-13 12:20:00+05:30,2025-06-13 12:25:00+05:30,300,BUY_CE,24600,243.4,2025-06-13 13:05:00+05:30,218.4,SL Hit,218.4,218.4,False,-25.0,-1875.0
2025-06-13 13:30:00+05:30,2025-06-13 13:35:00+05:30,300,BUY_CE,24600,239.1,2025-06-13 13:40:00+05:30,249.1,Locked Profit Hit,249.1,217.55,True,10.0,750.0
2025-06-13 13:45:00+05:30,2025-06-13 13:50:00+05:30,300,BUY_CE,24600,257.0,2025-06-13 13:55:00+05:30,232.74,SL Hit,232.74,232.74,False,-24.26,-1819.5
2025-06-13 14:10:00+05:30,2025-06-13 14:15:00+05:30,300,BUY_CE,24600,237.1,2025-06-13 14:30:00+05:30,237.5,Safe SL Hit (GAP DOWN),245.1,212.38,True,0.4,30.0
2025-06-13 14:50:00+05:30,2025-06-13 14:55:00+05:30,300,BUY_PE,24600,153.4,2025-06-13 15:00:00+05:30,166.3,Safe SL Hit (GAP UP),161.4,135.02,True,12.9,967.5
2025-06-13 15:05:00+05:30,2025-06-13 15:10:00+05:30,300,BUY_CE,24600,233.95,2025-06-13 15:25:00+05:30,238.1,Locked Profit Hit (GAP DOWN),243.95,212.74,True,4.15,311.25
2025-06-16 10:15:00+05:30,2025-06-16 10:20:00+05:30,300,BUY_CE,24800,134.6,2025-06-16 10:25:00+05:30,136.0,ATR Trail Hit (GAP DOWN),154.36,109.6,True,1.4,105.0
2025-06-16 10:30:00+05:30,2025-06-16 10:35:00+05:30,300,BUY_CE,24800,180.3,2025-06-16 10:40:00+05:30,185.6,Locked Profit Hit (GAP DOWN),190.3,155.3,True,5.3,397.5
2025-06-16 10:45:00+05:30,2025-06-16 10:50:00+05:30,300,BUY_CE,24800,197.9,2025-06-16 11:00:00+05:30,206.2,ATR Trail Hit (GAP DOWN),212.9,172.9,True,8.3,622.5
2025-06-16 11:10:00+05:30,2025-06-16 11:15:00+05:30,300,BUY_CE,24800,228.65,2025-06-16 11:25:00+05:30,203.65,SL Hit,203.65,203.65,False,-25.0,-1875.0
2025-06-16 11:30:00+05:30,2025-06-16 11:35:00+05:30,300,BUY_CE,24800,210.0,2025-06-16 11:40:00+05:30,220.0,Locked Profit Hit,220.0,185.0,True,10.0,750.0
2025-06-16 11:45:00+05:30,2025-06-16 11:50:00+05:30,300,BUY_CE,24800,232.75,2025-06-16 12:00:00+05:30,207.75,SL Hit,207.75,207.75,False,-25.0,-1875.0
2025-06-16 12:35:00+05:30,2025-06-16 12:40:00+05:30,300,BUY_CE,24800,253.7,2025-06-16 12:50:00+05:30,228.7,SL Hit,228.7,228.7,False,-25.0,-1875.0
2025-06-16 13:00:00+05:30,2025-06-16 13:05:00+05:30,300,BUY_CE,24800,229.5,2025-06-16 13:10:00+05:30,234.75,Safe SL Hit (GAP DOWN),237.5,204.5,True,5.25,393.75
2025-06-16 13:35:00+05:30,2025-06-16 13:40:00+05:30,300,BUY_CE,24800,251.45,2025-06-16 14:45:00+05:30,226.45,SL Hit,226.45,226.45,False,-25.0,-1875.0
2025-06-16 15:10:00+05:30,2025-06-16 15:15:00+05:30,300,BUY_CE,24800,239.7,2025-06-16 15:25:00+05:30,238.2,EOD Exit,217.48,217.48,False,-1.5,-112.5
2025-06-17 10:50:00+05:30,2025-06-17 10:55:00+05:30,300,BUY_PE,24900,119.7,2025-06-17 11:00:00+05:30,120.6,SL Hit (GAP UP),95.07,95.07,False,0.9,67.5
2025-06-17 11:15:00+05:30,2025-06-17 11:20:00+05:30,300,BUY_PE,24900,121.35,2025-06-17 11:25:00+05:30,115.2,SL Hit (GAP UP),102.41,102.41,False,-6.15,-461.25
2025-06-17 11:40:00+05:30,2025-06-17 11:45:00+05:30,300,BUY_CE,24900,97.35,2025-06-17 12:10:00+05:30,82.9,SL Hit,82.9,82.9,False,-14.45,-1083.75
2025-06-17 12:15:00+05:30,2025-06-17 12:20:00+05:30,300,BUY_PE,24900,125.5,2025-06-17 12:25:00+05:30,125.65,SL Hit (GAP UP),111.18,111.18,False,0.15,11.25
2025-06-17 12:45:00+05:30,2025-06-17 12:50:00+05:30,300,BUY_PE,24900,135.8,2025-06-17 12:55:00+05:30,155.8,ATR Trail Hit,155.8,117.4,True,20.0,1500.0
2025-06-17 13:00:00+05:30,2025-06-17 13:05:00+05:30,300,BUY_PE,24900,142.05,2025-06-17 13:10:00+05:30,140.0,SL Hit (GAP UP),120.26,120.26,False,-2.05,-153.75
2025-06-17 13:15:00+05:30,2025-06-17 13:20:00+05:30,300,BUY_PE,24900,136.95,2025-06-17 13:25:00+05:30,135.05,SL Hit (GAP UP),115.61,115.61,False,-1.9,-142.5
2025-06-17 14:10:00+05:30,2025-06-17 14:15:00+05:30,300,BUY_CE,24900,81.0,2025-06-17 15:00:00+05:30,70.85,SL Hit,70.85,70.85,False,-10.15,-761.25
2025-06-18 10:50:00+05:30,2025-06-18 10:55:00+05:30,300,BUY_PE,24850,97.85,2025-06-18 11:00:00+05:30,87.4,SL Hit (GAP UP),77.22,77.22,False,-10.45,-783.75
2025-06-18 11:05:00+05:30,2025-06-18 11:10:00+05:30,300,BUY_PE,24850,93.5,2025-06-18 11:15:00+05:30,103.5,Locked Profit Hit,103.5,71.72,True,10.0,750.0
2025-06-18 11:20:00+05:30,2025-06-18 11:25:00+05:30,300,BUY_PE,24850,109.5,2025-06-18 11:30:00+05:30,128.81,ATR Trail Hit,128.81,84.5,True,19.31,1448.25
2025-06-18 11:50:00+05:30,2025-06-18 11:55:00+05:30,300,BUY_PE,24850,121.1,2025-06-18 12:00:00+05:30,130.9,SL Hit (GAP UP),96.1,96.1,False,9.8,735.0
2025-06-18 12:20:00+05:30,2025-06-18 12:25:00+05:30,300,BUY_PE,24850,114.6,2025-06-18 12:30:00+05:30,122.6,Safe SL Hit,122.6,89.6,True,8.0,600.0
2025-06-18 12:45:00+05:30,2025-06-18 12:50:00+05:30,300,BUY_PE,24850,137.9,2025-06-18 12:55:00+05:30,128.0,SL Hit (GAP UP),114.06,114.06,False,-9.9,-742.5
2025-06-18 13:35:00+05:30,2025-06-18 13:40:00+05:30,300,BUY_CE,24850,63.1,2025-06-18 13:50:00+05:30,52.75,SL Hit,52.75,52.75,False,-10.35,-776.25
2025-06-18 13:55:00+05:30,2025-06-18 14:00:00+05:30,300,BUY_PE,24850,117.4,2025-06-18 14:05:00+05:30,113.95,SL Hit (GAP UP),97.36,97.36,False,-3.45,-258.75
2025-06-18 14:15:00+05:30,2025-06-18 14:20:00+05:30,300,BUY_PE,24850,122.6,2025-06-18 14:25:00+05:30,133.95,Safe SL Hit (GAP UP),130.6,102.69,True,11.35,851.25
2025-06-18 14:30:00+05:30,2025-06-18 14:35:00+05:30,300,BUY_CE,24850,62.7,2025-06-18 15:25:00+05:30,52.0,EOD Exit,51.27,51.27,False,-10.7,-802.5
2025-06-19 11:20:00+05:30,2025-06-19 11:25:00+05:30,300,BUY_PE,24750,13.5,2025-06-19 11:30:00+05:30,12.85,SL Hit (GAP UP),7.36,7.36,False,-0.65,-48.75
2025-06-19 12:40:00+05:30,2025-06-19 12:45:00+05:30,300,BUY_PE,24750,11.3,2025-06-19 12:50:00+05:30,11.55,SL Hit (GAP UP),6.64,6.64,False,0.25,18.75
2025-06-19 13:00:00+05:30,2025-06-19 13:05:00+05:30,300,BUY_PE,24750,10.8,2025-06-19 13:10:00+05:30,5.9,SL Hit (GAP UP),5.35,5.35,False,-4.9,-367.5
2025-06-19 13:15:00+05:30,2025-06-19 13:20:00+05:30,300,BUY_PE,24750,7.3,2025-06-19 13:25:00+05:30,7.05,SL Hit (GAP UP),2.14,2.14,False,-0.25,-18.75
2025-06-19 14:00:00+05:30,2025-06-19 14:05:00+05:30,300,BUY_CE,24750,89.4,2025-06-19 14:15:00+05:30,91.2,Safe SL Hit (GAP DOWN),97.4,67.59,True,1.8,135.0
2025-06-19 14:20:00+05:30,2025-06-19 14:25:00+05:30,300,BUY_CE,24750,85.55,2025-06-19 14:40:00+05:30,60.55,SL Hit,60.55,60.55,False,-25.0,-1875.0
