timestamp,open,high,low,close,volume,oi,datetime,date,instrument_type,strike_price,expiry_date,instrument_key,trading_day,is_expired
2025-09-29T09:15:00+05:30,123.0,154.9,119.7,127.8,4835400,3499575,2025-09-29 09:15:00+05:30,2025-09-29,CE,24650,2025-09-30,NSE_FO|60455|30-09-2025,2025-09-29,False
2025-09-29T09:15:00+05:30,50.95,50.95,30.0,44.55,16773675,7296825,2025-09-29 09:15:00+05:30,2025-09-29,PE,24650,2025-09-30,NSE_FO|60456|30-09-2025,2025-09-29,False
2025-09-29T09:20:00+05:30,127.75,143.0,125.85,139.6,5962200,4125000,2025-09-29 09:20:00+05:30,2025-09-29,CE,24650,2025-09-30,NSE_FO|60455|30-09-2025,2025-09-29,False
2025-09-29T09:20:00+05:30,44.6,45.5,35.0,35.7,11013225,9324975,2025-09-29 09:20:00+05:30,2025-09-29,PE,24650,2025-09-30,NSE_FO|60456|30-09-2025,2025-09-29,False
2025-09-29T09:25:00+05:30,139.85,145.0,125.25,144.15,3653025,4146750,2025-09-29 09:25:00+05:30,2025-09-29,CE,24650,2025-09-30,NSE_FO|60455|30-09-2025,2025-09-29,False
2025-09-29T09:25:00+05:30,35.5,43.7,33.25,34.0,8843325,9591675,2025-09-29 09:25:00+05:30,2025-09-29,PE,24650,2025-09-30,NSE_FO|60456|30-09-2025,2025-09-29,False
2025-09-29T09:30:00+05:30,143.85,155.0,134.8,153.95,4523625,4083150,2025-09-29 09:30:00+05:30,2025-09-29,CE,24650,2025-09-30,NSE_FO|60455|30-09-2025,2025-09-29,False
2025-09-29T09:30:00+05:30,34.05,35.95,26.8,27.1,11906475,11619675,2025-09-29 09:30:00+05:30,2025-09-29,PE,24650,2025-09-30,NSE_FO|60456|30-09-2025,2025-09-29,False
2025-09-29T09:35:00+05:30,153.95,162.7,150.55,156.8,3154275,3512400,2025-09-29 09:35:00+05:30,2025-09-29,CE,24650,2025-09-30,NSE_FO|60455|30-09-2025,2025-09-29,False
2025-09-29T09:35:00+05:30,27.0,28.6,23.5,24.85,8753325,11290650,2025-09-29 09:35:00+05:30,2025-09-29,PE,24650,2025-09-30,NSE_FO|60456|30-09-2025,2025-09-29,False
