EntryTime,Side,EntryPrice,ExitTime,ExitPrice,Reason,Exit_SL_Value,PnL_Points,PnL_INR
2025-09-25 14:45:00+05:30,SELL_PE,24941.3,2025-09-25 14:50:00+05:30,24928.3,SL Hit,24928.3,13.0,975.0
2025-09-25 14:55:00+05:30,SELL_PE,24922.15,2025-09-25 15:25:00+05:30,24904.55,EOD Exit,24909.15,17.6,1320.0
2025-09-26 09:30:00+05:30,SELL_PE,24776.75,2025-09-26 09:35:00+05:30,24763.75,SL Hit,24763.75,13.0,975.0
2025-09-26 11:00:00+05:30,SELL_PE,24771.2,2025-09-26 11:15:00+05:30,24755.95,MACD/EMA Exit,24758.2,15.25,1143.75
2025-09-26 11:20:00+05:30,SELL_PE,24761.15,2025-09-26 11:35:00+05:30,24745.15,MACD/EMA Exit,24748.15,16.0,1200.0
2025-09-26 12:50:00+05:30,BUY_CE,24790.55,2025-09-26 13:10:00+05:30,24766.59,SL Hit,24766.59,-23.96,-1797.0
2025-09-26 13:15:00+05:30,SELL_PE,24755.4,2025-09-26 14:45:00+05:30,24661.35,MACD/EMA Exit,24742.4,94.05,7053.75
2025-09-29 09:30:00+05:30,BUY_CE,24727.4,2025-09-29 10:45:00+05:30,24747.6,MACD/EMA Exit,24740.4,20.2,1515.0
2025-09-29 11:05:00+05:30,BUY_CE,24756.05,2025-09-29 11:30:00+05:30,24728.5,SL Hit,24728.5,-27.55,-2066.25
2025-09-29 11:35:00+05:30,SELL_PE,24670.8,2025-09-29 11:40:00+05:30,24657.8,SL Hit,24657.8,13.0,975.0
2025-09-29 11:45:00+05:30,SELL_PE,24644.6,2025-09-29 12:55:00+05:30,24631.6,SL Hit,24631.6,13.0,975.0
2025-09-29 13:20:00+05:30,BUY_CE,24696.05,2025-09-29 13:40:00+05:30,24709.05,SL Hit,24709.05,13.0,975.0
2025-09-29 14:50:00+05:30,SELL_PE,24683.9,2025-09-29 15:25:00+05:30,24677.55,EOD Exit,24670.9,6.35,476.25
2025-09-30 09:30:00+05:30,SELL_PE,24676.25,2025-09-30 09:30:00+05:30,24663.25,SL Hit,24663.25,13.0,975.0
2025-09-30 09:35:00+05:30,SELL_PE,24655.25,2025-09-30 09:45:00+05:30,24642.25,SL Hit,24642.25,13.0,975.0
2025-09-30 10:10:00+05:30,SELL_PE,24636.7,2025-09-30 10:25:00+05:30,24623.7,SL Hit,24623.7,13.0,975.0
2025-09-30 10:30:00+05:30,SELL_PE,24626.05,2025-09-30 10:40:00+05:30,24613.05,SL Hit,24613.05,13.0,975.0
2025-09-30 11:00:00+05:30,BUY_CE,24657.9,2025-09-30 11:20:00+05:30,24670.9,SL Hit,24670.9,13.0,975.0
2025-09-30 11:25:00+05:30,SELL_PE,24647.15,2025-09-30 11:55:00+05:30,24632.25,MACD/EMA Exit,24634.15,14.9,1117.5
2025-09-30 12:05:00+05:30,BUY_CE,24648.45,2025-09-30 12:45:00+05:30,24661.45,SL Hit,24661.45,13.0,975.0
2025-09-30 12:55:00+05:30,SELL_PE,24652.65,2025-09-30 13:25:00+05:30,24639.65,SL Hit,24639.65,13.0,975.0
2025-09-30 14:10:00+05:30,SELL_PE,24623.9,2025-09-30 14:10:00+05:30,24610.9,SL Hit,24610.9,13.0,975.0
2025-09-30 14:15:00+05:30,SELL_PE,24601.4,2025-09-30 14:35:00+05:30,24629.87,SL Hit,24629.87,-28.47,-2135.25
2025-10-01 09:35:00+05:30,BUY_CE,24669.8,2025-10-01 09:40:00+05:30,24682.8,SL Hit,24682.8,13.0,975.0
2025-10-01 09:45:00+05:30,BUY_CE,24692.1,2025-10-01 10:00:00+05:30,24661.24,SL Hit,24661.24,-30.86,-2314.5
2025-10-01 10:05:00+05:30,SELL_PE,24648.55,2025-10-01 10:05:00+05:30,24635.55,SL Hit,24635.55,13.0,975.0
2025-10-01 11:00:00+05:30,BUY_CE,24683.75,2025-10-01 12:25:00+05:30,24777.2,MACD/EMA Exit,24696.75,93.45,7008.75
2025-10-01 12:55:00+05:30,SELL_PE,24753.5,2025-10-01 13:25:00+05:30,24782.77,SL Hit,24782.77,-29.27,-2195.25
2025-10-01 14:05:00+05:30,BUY_CE,24808.8,2025-10-01 15:05:00+05:30,24831.1,MACD/EMA Exit,24821.8,22.3,1672.5
2025-10-03 09:30:00+05:30,SELL_PE,24766.15,2025-10-03 09:50:00+05:30,24809.73,SL Hit,24809.73,-43.58,-3268.5
2025-10-03 09:55:00+05:30,BUY_CE,24828.55,2025-10-03 10:40:00+05:30,24786.52,SL Hit,24786.52,-42.03,-3152.25
2025-10-03 11:20:00+05:30,BUY_CE,24817.25,2025-10-03 11:20:00+05:30,24830.25,SL Hit,24830.25,13.0,975.0
2025-10-03 12:10:00+05:30,BUY_CE,24840.4,2025-10-03 12:15:00+05:30,24818.46,SL Hit,24818.46,-21.94,-1645.5
2025-10-03 14:35:00+05:30,BUY_CE,24867.05,2025-10-03 14:45:00+05:30,24880.05,SL Hit,24880.05,13.0,975.0
2025-10-03 14:50:00+05:30,BUY_CE,24881.35,2025-10-03 15:10:00+05:30,24894.35,SL Hit,24894.35,13.0,975.0
2025-10-06 09:40:00+05:30,BUY_CE,24944.8,2025-10-06 09:50:00+05:30,24957.8,SL Hit,24957.8,13.0,975.0
2025-10-06 11:30:00+05:30,BUY_CE,25010.8,2025-10-06 12:50:00+05:30,25026.0,MACD/EMA Exit,25023.8,15.2,1140.0
2025-10-06 12:55:00+05:30,BUY_CE,25038.75,2025-10-06 13:20:00+05:30,25051.75,SL Hit,25051.75,13.0,975.0
2025-10-06 13:30:00+05:30,BUY_CE,25079.55,2025-10-06 13:45:00+05:30,25059.72,SL Hit,25059.72,-19.83,-1487.25
2025-10-06 14:25:00+05:30,SELL_PE,25035.0,2025-10-06 14:30:00+05:30,25062.39,SL Hit,25062.39,-27.39,-2054.25
2025-10-06 14:40:00+05:30,BUY_CE,25064.95,2025-10-06 14:50:00+05:30,25077.95,SL Hit,25077.95,13.0,975.0
2025-10-06 14:55:00+05:30,BUY_CE,25083.8,2025-10-06 15:25:00+05:30,25072.55,EOD Exit,25052.09,-11.25,-843.75
