SignalTime,EntryTime,Slippage_Sec,Side,Mode,Shapeshifted,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 13:00:00+05:30,2025-09-29 13:00:00+05:30,0,BUY_CE,scout,False,24750,43.25,2025-09-29 13:00:00+05:30,43.25,Mean Reversion Target,37.62,37.62,False,0.0,0.0
2025-09-29 13:05:00+05:30,2025-09-29 13:05:00+05:30,0,BUY_CE,scout,False,24750,41.15,2025-09-29 13:05:00+05:30,41.15,Mean Reversion Target,35.29,35.29,False,0.0,0.0
2025-09-29 13:10:00+05:30,2025-09-29 13:10:00+05:30,0,BUY_CE,scout,False,24750,50.95,2025-09-29 13:10:00+05:30,50.95,Mean Reversion Target,44.93,44.93,False,0.0,0.0
2025-09-29 13:15:00+05:30,2025-09-29 13:15:00+05:30,0,BUY_CE,scout,False,24750,46.15,2025-09-29 13:15:00+05:30,46.15,Mean Reversion Target,40.14,40.14,False,0.0,0.0
2025-09-29 13:20:00+05:30,2025-09-29 13:20:00+05:30,0,BUY_CE,scout,False,24750,55.75,2025-09-29 13:20:00+05:30,55.75,Mean Reversion Target,49.31,49.31,False,0.0,0.0
2025-09-29 13:25:00+05:30,2025-09-29 13:25:00+05:30,0,BUY_CE,scout,False,24750,54.1,2025-09-29 13:25:00+05:30,54.1,Mean Reversion Target,47.28,47.28,False,0.0,0.0
2025-09-29 13:30:00+05:30,2025-09-29 13:30:00+05:30,0,BUY_CE,scout,False,24750,58.7,2025-09-29 13:30:00+05:30,58.7,Mean Reversion Target,51.35,51.35,False,0.0,0.0
2025-09-29 13:35:00+05:30,2025-09-29 13:35:00+05:30,0,BUY_CE,scout,False,24750,59.9,2025-09-29 13:35:00+05:30,59.9,Mean Reversion Target,52.41,52.41,False,0.0,0.0
2025-09-29 13:40:00+05:30,2025-09-29 13:40:00+05:30,0,BUY_CE,scout,False,24750,48.1,2025-09-29 13:40:00+05:30,48.1,Mean Reversion Target,39.9,39.9,False,0.0,0.0
2025-09-29 13:45:00+05:30,2025-09-29 13:45:00+05:30,0,BUY_CE,scout,False,24750,48.15,2025-09-29 13:45:00+05:30,48.15,Mean Reversion Target,39.96,39.96,False,0.0,0.0
2025-09-29 13:50:00+05:30,2025-09-29 13:50:00+05:30,0,BUY_CE,scout,False,24750,51.0,2025-09-29 13:50:00+05:30,51.0,Mean Reversion Target,42.63,42.63,False,0.0,0.0
2025-09-29 13:55:00+05:30,2025-09-29 13:55:00+05:30,0,BUY_CE,scout,False,24750,57.75,2025-09-29 13:55:00+05:30,57.75,Mean Reversion Target,48.94,48.94,False,0.0,0.0
2025-09-29 14:00:00+05:30,2025-09-29 14:00:00+05:30,0,BUY_CE,scout,False,24750,64.2,2025-09-29 14:00:00+05:30,64.2,Mean Reversion Target,54.75,54.75,False,0.0,0.0
2025-09-29 14:05:00+05:30,2025-09-29 14:05:00+05:30,0,BUY_CE,scout,False,24750,61.15,2025-09-29 14:05:00+05:30,61.15,Mean Reversion Target,51.44,51.44,False,0.0,0.0
2025-09-29 14:10:00+05:30,2025-09-29 14:10:00+05:30,0,BUY_CE,scout,False,24750,60.15,2025-09-29 14:10:00+05:30,60.15,Mean Reversion Target,50.68,50.68,False,0.0,0.0
2025-09-29 14:15:00+05:30,2025-09-29 14:15:00+05:30,0,BUY_CE,scout,False,24750,63.7,2025-09-29 14:15:00+05:30,63.7,Mean Reversion Target,53.85,53.85,False,0.0,0.0
2025-09-29 14:20:00+05:30,2025-09-29 14:20:00+05:30,0,BUY_CE,scout,False,24750,63.15,2025-09-29 14:20:00+05:30,63.15,Mean Reversion Target,53.4,53.4,False,0.0,0.0
2025-09-29 14:25:00+05:30,2025-09-29 14:25:00+05:30,0,BUY_CE,scout,False,24750,61.0,2025-09-29 14:25:00+05:30,61.0,Mean Reversion Target,51.28,51.28,False,0.0,0.0
2025-09-29 14:30:00+05:30,2025-09-29 14:30:00+05:30,0,BUY_CE,scout,False,24750,60.7,2025-09-29 14:30:00+05:30,60.7,Mean Reversion Target,51.16,51.16,False,0.0,0.0
2025-09-29 14:35:00+05:30,2025-09-29 14:35:00+05:30,0,BUY_CE,scout,False,24750,56.5,2025-09-29 14:35:00+05:30,56.5,Mean Reversion Target,46.94,46.94,False,0.0,0.0
