SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-05-20 10:35:00+05:30,2025-05-20 10:35:00+05:30,0,BUY_CE,24950,131.05,2025-05-20 10:45:00+05:30,144.05,SL Hit,144.05,117.95,True,13.0,975.0
2025-05-20 11:25:00+05:30,2025-05-20 11:25:00+05:30,0,BUY_PE,24950,160.75,2025-05-20 11:40:00+05:30,173.75,SL Hit,173.75,144.05,True,13.0,975.0
2025-05-20 12:35:00+05:30,2025-05-20 12:35:00+05:30,0,BUY_CE,24950,99.1,2025-05-20 12:50:00+05:30,89.1,SL Hit,89.1,89.1,False,-10.0,-750.0
2025-05-20 13:55:00+05:30,2025-05-20 13:55:00+05:30,0,BUY_CE,24950,59.85,2025-05-20 14:05:00+05:30,52.99,SL Hit,52.99,52.99,False,-6.86,-514.5
2025-05-20 15:10:00+05:30,2025-05-20 15:10:00+05:30,0,BUY_CE,24950,48.65,2025-05-20 15:25:00+05:30,50.4,EOD Exit,44.48,44.48,False,1.75,131.25
2025-05-21 11:05:00+05:30,2025-05-21 11:05:00+05:30,0,BUY_PE,24700,44.2,2025-05-21 11:35:00+05:30,57.2,SL Hit,57.2,36.06,True,13.0,975.0
2025-05-21 13:00:00+05:30,2025-05-21 13:00:00+05:30,0,BUY_CE,24700,174.2,2025-05-21 13:05:00+05:30,187.2,SL Hit,187.2,147.53,True,13.0,975.0
2025-05-21 14:00:00+05:30,2025-05-21 14:00:00+05:30,0,BUY_PE,24700,104.3,2025-05-21 14:10:00+05:30,87.02,SL Hit,87.02,87.02,False,-17.28,-1296.0
2025-05-22 10:20:00+05:30,2025-05-22 10:20:00+05:30,0,BUY_CE,24650,30.05,2025-05-22 12:50:00+05:30,7.41,SL Hit,7.41,7.41,False,-22.64,-1698.0
2025-05-22 13:15:00+05:30,2025-05-22 13:15:00+05:30,0,BUY_CE,24650,4.9,2025-05-22 14:20:00+05:30,2.43,SL Hit,2.43,2.43,False,-2.47,-185.25
2025-05-22 14:40:00+05:30,2025-05-22 14:40:00+05:30,0,BUY_CE,24650,9.65,2025-05-22 14:50:00+05:30,6.99,SL Hit,6.99,6.99,False,-2.66,-199.5
2025-05-23 10:25:00+05:30,2025-05-23 10:25:00+05:30,0,BUY_PE,24650,139.5,2025-05-23 10:40:00+05:30,122.67,SL Hit,122.67,122.67,False,-16.83,-1262.25
2025-05-23 10:50:00+05:30,2025-05-23 10:50:00+05:30,0,BUY_CE,24650,390.45,2025-05-23 10:55:00+05:30,403.45,SL Hit,403.45,363.78,True,13.0,975.0
2025-05-23 11:15:00+05:30,2025-05-23 11:15:00+05:30,0,BUY_PE,24650,116.0,2025-05-23 11:50:00+05:30,129.0,SL Hit,129.0,105.03,True,13.0,975.0
2025-05-26 10:20:00+05:30,2025-05-26 10:20:00+05:30,0,BUY_PE,24950,159.5,2025-05-26 10:55:00+05:30,180.15,MACD/EMA Exit,172.5,140.08,True,20.65,1548.75
2025-05-26 12:00:00+05:30,2025-05-26 12:00:00+05:30,0,BUY_CE,24950,267.2,2025-05-26 12:10:00+05:30,250.29,SL Hit,250.29,250.29,False,-16.91,-1268.25
2025-05-26 12:25:00+05:30,2025-05-26 12:25:00+05:30,0,BUY_CE,24950,257.85,2025-05-26 12:40:00+05:30,240.58,SL Hit,240.58,240.58,False,-17.27,-1295.25
2025-05-26 13:35:00+05:30,2025-05-26 13:35:00+05:30,0,BUY_CE,24950,249.95,2025-05-26 13:40:00+05:30,262.95,SL Hit,262.95,237.95,True,13.0,975.0
2025-05-26 14:20:00+05:30,2025-05-26 14:20:00+05:30,0,BUY_PE,24950,182.5,2025-05-26 14:30:00+05:30,171.55,SL Hit,171.55,171.55,False,-10.95,-821.25
2025-05-26 14:45:00+05:30,2025-05-26 14:45:00+05:30,0,BUY_PE,24950,175.95,2025-05-26 14:50:00+05:30,165.07,SL Hit,165.07,165.07,False,-10.88,-816.0
2025-05-27 10:35:00+05:30,2025-05-27 10:35:00+05:30,0,BUY_CE,24900,159.0,2025-05-27 10:55:00+05:30,172.0,SL Hit,172.0,139.0,True,13.0,975.0
2025-05-27 12:20:00+05:30,2025-05-27 12:20:00+05:30,0,BUY_PE,24900,196.8,2025-05-27 12:30:00+05:30,209.8,SL Hit,209.8,174.51,True,13.0,975.0
2025-05-27 14:40:00+05:30,2025-05-27 14:40:00+05:30,0,BUY_CE,24900,165.0,2025-05-27 15:25:00+05:30,165.65,EOD Exit,148.82,148.82,False,0.65,48.75
2025-05-28 10:45:00+05:30,2025-05-28 10:45:00+05:30,0,BUY_CE,24800,151.69,2025-05-28 10:55:00+05:30,164.69,SL Hit,164.69,130.98,True,13.0,975.0
2025-05-28 11:30:00+05:30,2025-05-28 11:30:00+05:30,0,BUY_PE,24800,150.4,2025-05-28 12:15:00+05:30,133.67,SL Hit,133.67,133.67,False,-16.73,-1254.75
2025-05-28 13:20:00+05:30,2025-05-28 13:20:00+05:30,0,BUY_PE,24800,125.8,2025-05-28 14:05:00+05:30,115.6,SL Hit,115.6,115.6,False,-10.2,-765.0
2025-05-28 14:15:00+05:30,2025-05-28 14:15:00+05:30,0,BUY_CE,24800,122.5,2025-05-28 14:25:00+05:30,110.69,SL Hit,110.69,110.69,False,-11.81,-885.75
2025-05-29 10:20:00+05:30,2025-05-29 10:20:00+05:30,0,BUY_PE,24900,116.2,2025-05-29 11:45:00+05:30,191.15,MACD/EMA Exit,129.2,89.53,True,74.95,5621.25
2025-05-29 12:35:00+05:30,2025-05-29 12:35:00+05:30,0,BUY_PE,24900,237.85,2025-05-29 12:40:00+05:30,250.85,SL Hit,250.85,217.86,True,13.0,975.0
2025-05-29 12:55:00+05:30,2025-05-29 12:55:00+05:30,0,BUY_CE,24900,17.05,2025-05-29 13:05:00+05:30,11.81,SL Hit,11.81,11.81,False,-5.24,-393.0
2025-05-29 14:00:00+05:30,2025-05-29 14:00:00+05:30,0,BUY_PE,24900,178.95,2025-05-29 14:10:00+05:30,191.95,SL Hit,191.95,156.2,True,13.0,975.0
2025-05-29 14:30:00+05:30,2025-05-29 14:30:00+05:30,0,BUY_CE,24900,2.54,2025-05-29 15:20:00+05:30,0.25,SL Hit,0.25,0.25,False,-2.29,-171.75
2025-05-30 11:20:00+05:30,2025-05-30 11:20:00+05:30,0,BUY_CE,24900,170.8,2025-05-30 11:35:00+05:30,160.42,SL Hit,160.42,160.42,False,-10.38,-778.5
2025-05-30 12:00:00+05:30,2025-05-30 12:00:00+05:30,0,BUY_PE,24900,280.0,2025-05-30 13:25:00+05:30,263.54,SL Hit,263.54,263.54,False,-16.46,-1234.5
2025-05-30 14:15:00+05:30,2025-05-30 14:15:00+05:30,0,BUY_PE,24900,262.05,2025-05-30 14:30:00+05:30,249.59,SL Hit,249.59,249.59,False,-12.46,-934.5
2025-05-30 14:40:00+05:30,2025-05-30 14:40:00+05:30,0,BUY_PE,24900,254.35,2025-05-30 15:00:00+05:30,267.35,SL Hit,267.35,242.11,True,13.0,975.0
2025-06-02 10:20:00+05:30,2025-06-02 10:20:00+05:30,0,BUY_CE,24550,222.6,2025-06-02 10:25:00+05:30,235.6,SL Hit,235.6,195.93,True,13.0,975.0
2025-06-02 13:15:00+05:30,2025-06-02 13:15:00+05:30,0,BUY_PE,24550,142.05,2025-06-02 13:40:00+05:30,131.26,SL Hit,131.26,131.26,False,-10.79,-809.25
2025-06-02 15:00:00+05:30,2025-06-02 15:00:00+05:30,0,BUY_CE,24550,338.0,2025-06-02 15:20:00+05:30,314.75,SL Hit,314.75,314.75,False,-23.25,-1743.75
