SignalTime,EntryTime,Slippage_Sec,Side,Mode,Shapeshifted,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,BUY_PE,rumbling,False,24750,127.1,2025-09-29 13:00:00+05:30,97.06,SL Hit,97.06,97.06,False,-30.04,-2253.0
2025-09-29 13:05:00+05:30,2025-09-29 13:05:00+05:30,0,BUY_CE,rumbling,False,24750,41.15,2025-09-29 14:40:00+05:30,46.45,MACD/EMA Exit,41.15,29.42,False,5.3,397.5
2025-09-29 14:45:00+05:30,2025-09-29 14:45:00+05:30,0,BUY_PE,rumbling,False,24750,88.25,2025-09-29 15:20:00+05:30,88.25,SL Hit,88.25,63.07,False,0.0,0.0
2025-09-30 11:25:00+05:30,2025-09-30 11:25:00+05:30,0,BUY_PE,rumbling,False,24700,66.55,2025-09-30 14:35:00+05:30,66.55,SL Hit,66.55,29.09,False,0.0,0.0
2025-09-30 14:40:00+05:30,2025-09-30 14:40:00+05:30,0,BUY_CE,rumbling,False,24700,3.4,2025-09-30 15:25:00+05:30,0.05,EOD Exit,-2.93,-2.93,False,-3.35,-251.25
2025-10-01 11:25:00+05:30,2025-10-01 11:25:00+05:30,0,BUY_CE,rumbling,False,24600,211.0,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,211.0,183.51,False,55.9,4192.5
2025-10-01 12:55:00+05:30,2025-10-01 12:55:00+05:30,0,BUY_PE,rumbling,False,24600,44.15,2025-10-01 13:25:00+05:30,37.76,SL Hit,37.76,37.76,False,-6.39,-479.25
2025-10-01 13:30:00+05:30,2025-10-01 13:30:00+05:30,0,BUY_CE,rumbling,False,24600,265.35,2025-10-01 15:05:00+05:30,288.85,MACD/EMA Exit,265.35,234.38,False,23.5,1762.5
2025-10-03 12:10:00+05:30,2025-10-03 12:10:00+05:30,0,BUY_CE,rumbling,False,24750,152.8,2025-10-03 12:30:00+05:30,131.56,SL Hit,131.56,131.56,False,-21.24,-1593.0
2025-10-03 12:35:00+05:30,2025-10-03 12:35:00+05:30,0,BUY_PE,rumbling,False,24750,44.4,2025-10-03 14:35:00+05:30,33.54,SL Hit,33.54,33.54,False,-10.86,-814.5
2025-10-03 14:40:00+05:30,2025-10-03 14:40:00+05:30,0,BUY_CE,rumbling,False,24750,175.45,2025-10-03 15:25:00+05:30,188.75,EOD Exit,175.45,153.53,False,13.3,997.5
2025-10-06 11:30:00+05:30,2025-10-06 11:30:00+05:30,0,BUY_CE,rumbling,False,24900,140.4,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,140.4,118.59,False,60.8,4560.0
2025-10-06 14:25:00+05:30,2025-10-06 14:25:00+05:30,0,BUY_PE,rumbling,False,24900,15.45,2025-10-06 14:50:00+05:30,11.45,SL Hit,11.45,11.45,False,-4.0,-300.0
2025-10-06 14:55:00+05:30,2025-10-06 14:55:00+05:30,0,BUY_CE,rumbling,False,24900,210.3,2025-10-06 15:25:00+05:30,199.05,EOD Exit,183.49,183.49,False,-11.25,-843.75
2025-10-07 12:00:00+05:30,2025-10-07 12:00:00+05:30,0,BUY_CE,rumbling,False,25100,71.55,2025-10-07 14:15:00+05:30,107.15,MACD/EMA Exit,71.55,41.98,False,35.6,2670.0
2025-10-07 14:25:00+05:30,2025-10-07 14:25:00+05:30,0,BUY_PE,rumbling,False,25100,3.35,2025-10-07 14:45:00+05:30,1.44,SL Hit,1.44,1.44,False,-1.91,-143.25
2025-10-07 15:05:00+05:30,2025-10-07 15:05:00+05:30,0,BUY_PE,rumbling,False,25100,1.0,2025-10-07 15:25:00+05:30,0.05,EOD Exit,-3.51,-3.51,False,-0.95,-71.25
2025-10-08 12:25:00+05:30,2025-10-08 12:25:00+05:30,0,BUY_PE,rumbling,False,25100,136.5,2025-10-08 12:50:00+05:30,111.53,SL Hit,111.53,111.53,False,-24.97,-1872.75
2025-10-08 12:55:00+05:30,2025-10-08 12:55:00+05:30,0,BUY_CE,rumbling,False,25100,115.95,2025-10-08 14:05:00+05:30,115.95,SL Hit,115.95,97.04,False,0.0,0.0
2025-10-08 14:10:00+05:30,2025-10-08 14:10:00+05:30,0,BUY_PE,rumbling,False,25100,102.9,2025-10-08 14:50:00+05:30,110.15,MACD/EMA Exit,102.9,81.19,False,7.25,543.75
2025-10-08 15:00:00+05:30,2025-10-08 15:00:00+05:30,0,BUY_PE,rumbling,False,25100,114.25,2025-10-08 15:25:00+05:30,123.0,EOD Exit,89.25,89.25,False,8.75,656.25
2025-10-09 12:20:00+05:30,2025-10-09 12:20:00+05:30,0,BUY_CE,rumbling,False,25050,193.8,2025-10-09 14:15:00+05:30,166.46,SL Hit,166.46,166.46,False,-27.34,-2050.5
2025-10-09 14:20:00+05:30,2025-10-09 14:20:00+05:30,0,BUY_PE,rumbling,False,25050,44.75,2025-10-09 14:55:00+05:30,36.26,SL Hit,36.26,36.26,False,-8.49,-636.75
2025-10-09 15:00:00+05:30,2025-10-09 15:00:00+05:30,0,BUY_CE,rumbling,False,25050,195.9,2025-10-09 15:25:00+05:30,193.1,EOD Exit,166.1,166.1,False,-2.8,-210.0
2025-10-10 11:50:00+05:30,2025-10-10 11:50:00+05:30,0,BUY_CE,rumbling,False,25150,229.5,2025-10-10 13:45:00+05:30,240.15,MACD/EMA Exit,229.5,198.35,False,10.65,798.75
2025-10-10 13:55:00+05:30,2025-10-10 13:55:00+05:30,0,BUY_PE,rumbling,False,25150,22.5,2025-10-10 15:25:00+05:30,19.6,EOD Exit,18.65,18.65,False,-2.9,-217.5
2025-10-13 11:55:00+05:30,2025-10-13 11:55:00+05:30,0,BUY_CE,rumbling,False,25200,70.5,2025-10-13 15:00:00+05:30,74.2,MACD/EMA Exit,70.5,57.19,False,3.7,277.5
2025-10-13 15:05:00+05:30,2025-10-13 15:05:00+05:30,0,BUY_PE,rumbling,False,25200,42.35,2025-10-13 15:25:00+05:30,33.1,EOD Exit,29.57,29.57,False,-9.25,-693.75
2025-10-14 12:10:00+05:30,2025-10-14 12:10:00+05:30,0,BUY_PE,rumbling,False,25300,187.65,2025-10-14 13:00:00+05:30,216.05,MACD/EMA Exit,187.65,142.26,False,28.4,2130.0
2025-10-14 13:30:00+05:30,2025-10-14 13:30:00+05:30,0,BUY_CE,rumbling,False,25300,3.05,2025-10-14 13:40:00+05:30,2.01,SL Hit,2.01,2.01,False,-1.04,-78.0
2025-10-14 13:45:00+05:30,2025-10-14 13:45:00+05:30,0,BUY_CE,rumbling,False,25300,1.65,2025-10-14 14:45:00+05:30,0.42,SL Hit,0.42,0.42,False,-1.23,-92.25
2025-10-14 15:15:00+05:30,2025-10-14 15:15:00+05:30,0,BUY_PE,rumbling,False,25300,151.6,2025-10-14 15:25:00+05:30,154.05,EOD Exit,104.71,104.71,False,2.45,183.75
2025-10-15 12:20:00+05:30,2025-10-15 12:20:00+05:30,0,BUY_CE,rumbling,False,25200,214.15,2025-10-15 12:40:00+05:30,234.55,MACD/EMA Exit,214.15,190.7,False,20.4,1530.0
2025-10-15 12:45:00+05:30,2025-10-15 12:45:00+05:30,0,BUY_CE,rumbling,False,25200,231.05,2025-10-15 13:50:00+05:30,239.9,MACD/EMA Exit,231.05,209.96,False,8.85,663.75
2025-10-15 14:00:00+05:30,2025-10-15 14:00:00+05:30,0,BUY_PE,rumbling,False,25200,44.9,2025-10-15 15:25:00+05:30,43.65,EOD Exit,40.41,40.41,False,-1.25,-93.75
2025-10-16 11:45:00+05:30,2025-10-16 11:45:00+05:30,0,BUY_PE,rumbling,False,25400,58.95,2025-10-16 12:10:00+05:30,52.86,SL Hit,52.86,52.86,False,-6.09,-456.75
2025-10-16 12:15:00+05:30,2025-10-16 12:15:00+05:30,0,BUY_CE,rumbling,False,25400,167.5,2025-10-16 13:15:00+05:30,198.5,MACD/EMA Exit,167.5,149.82,False,31.0,2325.0
2025-10-16 13:30:00+05:30,2025-10-16 13:30:00+05:30,0,BUY_CE,rumbling,False,25400,210.2,2025-10-16 15:05:00+05:30,239.05,MACD/EMA Exit,210.2,185.74,False,28.85,2163.75
2025-10-16 15:10:00+05:30,2025-10-16 15:10:00+05:30,0,BUY_PE,rumbling,False,25400,32.6,2025-10-16 15:25:00+05:30,32.3,EOD Exit,27.18,27.18,False,-0.3,-22.5
2025-10-17 12:20:00+05:30,2025-10-17 12:20:00+05:30,0,BUY_CE,rumbling,False,25550,272.4,2025-10-17 12:50:00+05:30,234.4,SL Hit,234.4,234.4,False,-38.0,-2850.0
2025-10-17 12:55:00+05:30,2025-10-17 12:55:00+05:30,0,BUY_PE,rumbling,False,25550,38.8,2025-10-17 14:05:00+05:30,38.8,SL Hit,38.8,29.98,False,0.0,0.0
2025-10-17 14:15:00+05:30,2025-10-17 14:15:00+05:30,0,BUY_CE,rumbling,False,25550,199.9,2025-10-17 15:20:00+05:30,209.8,MACD/EMA Exit,199.9,158.41,False,9.9,742.5
2025-10-20 11:40:00+05:30,2025-10-20 11:40:00+05:30,0,BUY_PE,rumbling,False,25800,25.55,2025-10-20 13:00:00+05:30,5.96,SL Hit,5.96,5.96,False,-19.59,-1469.25
2025-10-20 13:05:00+05:30,2025-10-20 13:05:00+05:30,0,BUY_CE,rumbling,False,25800,117.8,2025-10-20 13:40:00+05:30,88.11,SL Hit,88.11,88.11,False,-29.69,-2226.75
2025-10-20 13:45:00+05:30,2025-10-20 13:45:00+05:30,0,BUY_PE,rumbling,False,25800,7.9,2025-10-20 14:45:00+05:30,3.69,SL Hit,3.69,3.69,False,-4.21,-315.75
2025-10-20 15:05:00+05:30,2025-10-20 15:05:00+05:30,0,BUY_CE,rumbling,False,25800,44.5,2025-10-20 15:25:00+05:30,43.1,EOD Exit,6.7,6.7,False,-1.4,-105.0
2025-10-23 11:35:00+05:30,2025-10-23 11:35:00+05:30,0,BUY_CE,rumbling,False,26050,164.35,2025-10-23 11:50:00+05:30,183.0,MACD/EMA Exit,164.35,143.46,False,18.65,1398.75
2025-10-23 11:55:00+05:30,2025-10-23 11:55:00+05:30,0,BUY_CE,rumbling,False,26050,187.25,2025-10-23 12:55:00+05:30,167.84,SL Hit,167.84,167.84,False,-19.41,-1455.75
2025-10-23 13:00:00+05:30,2025-10-23 13:00:00+05:30,0,BUY_PE,rumbling,False,26050,80.05,2025-10-23 14:50:00+05:30,104.6,MACD/EMA Exit,80.05,71.81,False,24.55,1841.25
2025-10-23 15:00:00+05:30,2025-10-23 15:00:00+05:30,0,BUY_PE,rumbling,False,26050,136.6,2025-10-23 15:25:00+05:30,169.6,EOD Exit,136.6,106.92,False,33.0,2475.0
2025-10-24 11:40:00+05:30,2025-10-24 11:40:00+05:30,0,BUY_CE,rumbling,False,25950,71.9,2025-10-24 12:55:00+05:30,56.78,SL Hit,56.78,56.78,False,-15.12,-1134.0
2025-10-24 13:00:00+05:30,2025-10-24 13:00:00+05:30,0,BUY_PE,rumbling,False,25950,147.6,2025-10-24 14:15:00+05:30,204.4,MACD/EMA Exit,147.6,119.96,False,56.8,4260.0
2025-10-24 14:25:00+05:30,2025-10-24 14:25:00+05:30,0,BUY_CE,rumbling,False,25950,41.75,2025-10-24 15:25:00+05:30,45.9,EOD Exit,32.56,32.56,False,4.15,311.25
2025-10-27 11:25:00+05:30,2025-10-27 11:25:00+05:30,0,BUY_CE,rumbling,False,25850,209.85,2025-10-27 11:55:00+05:30,230.0,MACD/EMA Exit,209.85,181.29,False,20.15,1511.25
