SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 11:05:00+05:30,2025-09-29 11:05:00+05:30,0,BUY_CE,24750,97.85,2025-09-29 11:05:00+05:30,105.85,SL Hit,105.85,78.91,False,8.0,600.0
2025-09-29 11:15:00+05:30,2025-09-29 11:15:00+05:30,0,BUY_PE,24750,50.5,2025-09-29 11:15:00+05:30,55.5,SL Hit,55.5,38.34,False,5.0,375.0
2025-09-29 11:20:00+05:30,2025-09-29 11:20:00+05:30,0,BUY_PE,24750,50.0,2025-09-29 11:20:00+05:30,55.0,SL Hit,55.0,38.25,False,5.0,375.0
2025-09-29 11:25:00+05:30,2025-09-29 11:25:00+05:30,0,BUY_PE,24750,53.55,2025-09-29 11:25:00+05:30,58.55,SL Hit,58.55,42.18,False,5.0,375.0
2025-09-29 11:30:00+05:30,2025-09-29 11:30:00+05:30,0,BUY_PE,24750,67.15,2025-09-29 11:30:00+05:30,72.15,SL Hit,72.15,54.6,False,5.0,375.0
2025-09-29 11:35:00+05:30,2025-09-29 11:35:00+05:30,0,BUY_PE,24750,77.5,2025-09-29 11:35:00+05:30,82.5,SL Hit,82.5,64.0,False,5.0,375.0
2025-09-29 11:40:00+05:30,2025-09-29 11:40:00+05:30,0,BUY_PE,24750,77.85,2025-09-29 11:40:00+05:30,82.85,SL Hit,82.85,63.51,True,5.0,375.0
2025-09-29 11:45:00+05:30,2025-09-29 11:45:00+05:30,0,BUY_PE,24750,94.5,2025-09-29 11:45:00+05:30,99.5,SL Hit,99.5,79.01,False,5.0,375.0
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,BUY_PE,24750,127.1,2025-09-29 12:40:00+05:30,132.1,SL Hit,132.1,104.57,False,5.0,375.0
2025-09-29 13:00:00+05:30,2025-09-29 13:00:00+05:30,0,BUY_CE,24750,43.25,2025-09-29 13:00:00+05:30,51.25,SL Hit,51.25,34.81,False,8.0,600.0
2025-09-29 13:10:00+05:30,2025-09-29 13:10:00+05:30,0,BUY_CE,24750,50.95,2025-09-29 13:10:00+05:30,58.95,SL Hit,58.95,41.92,False,8.0,600.0
2025-09-29 13:15:00+05:30,2025-09-29 13:15:00+05:30,0,BUY_CE,24750,46.15,2025-09-29 13:15:00+05:30,54.15,SL Hit,54.15,37.13,False,8.0,600.0
2025-09-29 13:20:00+05:30,2025-09-29 13:20:00+05:30,0,BUY_CE,24750,55.75,2025-09-29 13:20:00+05:30,63.75,SL Hit,63.75,46.1,False,8.0,600.0
2025-09-29 13:25:00+05:30,2025-09-29 13:25:00+05:30,0,BUY_CE,24750,54.1,2025-09-29 13:25:00+05:30,62.1,SL Hit,62.1,43.86,False,8.0,600.0
