SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 11:05:00+05:30,2025-09-29 11:05:00+05:30,0,BUY_CE,24750,97.85,2025-09-29 11:30:00+05:30,80.18,SL Hit,80.18,80.18,FALSE,-17.67,-1325.25
2025-09-29 11:35:00+05:30,2025-09-29 11:35:00+05:30,0,BUY_PE,24750,77.5,2025-09-29 11:40:00+05:30,85.5,SL Hit,85.5,63.96,TRUE,8,600
2025-09-29 11:45:00+05:30,2025-09-29 11:45:00+05:30,0,BUY_PE,24750,94.5,2025-09-29 12:15:00+05:30,102.5,SL Hit,102.5,77,TRUE,8,600
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,BUY_PE,24750,127.1,2025-09-29 13:00:00+05:30,106.51,SL Hit,106.51,106.51,FALSE,-20.59,-1544.25
2025-09-29 13:10:00+05:30,2025-09-29 13:10:00+05:30,0,BUY_CE,24750,50.95,2025-09-29 14:05:00+05:30,63.95,SL Hit,63.95,41.32,TRUE,13,975
2025-09-29 14:40:00+05:30,2025-09-29 14:40:00+05:30,0,BUY_PE,24750,79.85,2025-09-29 14:50:00+05:30,87.85,SL Hit,87.85,62.26,TRUE,8,600
2025-09-29 14:55:00+05:30,2025-09-29 14:55:00+05:30,0,BUY_PE,24750,83.2,2025-09-29 15:20:00+05:30,91.2,SL Hit,91.2,62.26,TRUE,8,600
2025-09-30 10:10:00+05:30,2025-09-30 10:10:00+05:30,0,BUY_PE,24700,80.5,2025-09-30 10:55:00+05:30,88.5,SL Hit,88.5,57.36,TRUE,8,600
2025-09-30 11:00:00+05:30,2025-09-30 11:00:00+05:30,0,BUY_CE,24700,32.75,2025-09-30 11:40:00+05:30,23.13,SL Hit,23.13,23.13,FALSE,-9.62,-721.5
2025-09-30 11:45:00+05:30,2025-09-30 11:45:00+05:30,0,BUY_PE,24700,69.5,2025-09-30 11:50:00+05:30,77.5,SL Hit,77.5,43.5,TRUE,8,600
2025-09-30 11:55:00+05:30,2025-09-30 11:55:00+05:30,0,BUY_PE,24700,78,2025-09-30 12:15:00+05:30,56.73,SL Hit,56.73,56.73,FALSE,-21.27,-1595.25
2025-09-30 12:20:00+05:30,2025-09-30 12:20:00+05:30,0,BUY_CE,24700,28.95,2025-09-30 13:00:00+05:30,18.47,SL Hit,18.47,18.47,FALSE,-10.48,-786
2025-09-30 13:30:00+05:30,2025-09-30 13:30:00+05:30,0,BUY_PE,24700,66.45,2025-09-30 13:30:00+05:30,74.45,SL Hit,74.45,42.21,TRUE,8,600
