SignalTime,EntryTime,Slippage_Sec,Side,Mode,Shapeshifted,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,BUY_PE,scout,False,24750,127.1,2025-09-29 12:55:00+05:30,112.08,SL Hit,112.08,112.08,False,-15.02,-1126.5
2025-09-29 13:00:00+05:30,2025-09-29 13:00:00+05:30,0,BUY_CE,scout,False,24750,43.25,2025-09-29 13:40:00+05:30,51.25,SL Hit,51.25,37.62,True,8.0,600.0
2025-09-29 14:40:00+05:30,2025-09-29 14:40:00+05:30,0,BUY_PE,rumbling,True,24750,79.85,2025-09-29 15:25:00+05:30,84.6,MACD/EMA Exit,79.85,67.8,False,4.75,356.25
2025-09-30 11:25:00+05:30,2025-09-30 11:25:00+05:30,0,BUY_PE,rumbling,True,24700,66.55,2025-09-30 12:30:00+05:30,47.82,SL Hit,47.82,47.82,False,-18.73,-1404.75
2025-09-30 12:45:00+05:30,2025-09-30 12:45:00+05:30,0,BUY_PE,scout,False,24700,59.05,2025-09-30 13:30:00+05:30,67.05,SL Hit,67.05,45.5,True,8.0,600.0
2025-09-30 13:35:00+05:30,2025-09-30 13:35:00+05:30,0,BUY_PE,rumbling,True,24700,68.05,2025-09-30 14:35:00+05:30,68.05,SL Hit,68.05,53.56,False,0.0,0.0
2025-09-30 14:40:00+05:30,2025-09-30 14:40:00+05:30,0,BUY_CE,scout,False,24700,3.4,2025-09-30 15:00:00+05:30,0.24,SL Hit,0.24,0.24,False,-3.16,-237.0
2025-09-30 15:05:00+05:30,2025-09-30 15:05:00+05:30,0,BUY_PE,scout,False,24700,88.2,2025-09-30 15:25:00+05:30,88.6,EOD Exit,62.5,62.5,False,0.4,30.0
2025-10-01 11:25:00+05:30,2025-10-01 11:25:00+05:30,0,BUY_CE,rumbling,True,24600,211.0,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,211.0,197.26,False,55.9,4192.5
2025-10-01 12:55:00+05:30,2025-10-01 12:55:00+05:30,0,BUY_PE,scout,False,24600,44.15,2025-10-01 13:10:00+05:30,40.95,SL Hit,40.95,40.95,False,-3.2,-240.0
2025-10-01 13:15:00+05:30,2025-10-01 13:15:00+05:30,0,BUY_CE,scout,False,24600,248.3,2025-10-01 13:45:00+05:30,256.3,SL Hit,256.3,232.55,True,8.0,600.0
2025-10-01 13:55:00+05:30,2025-10-01 13:55:00+05:30,0,BUY_CE,rumbling,True,24600,260.65,2025-10-01 15:05:00+05:30,288.85,MACD/EMA Exit,260.65,246.99,True,28.2,2115.0
2025-10-03 12:10:00+05:30,2025-10-03 12:10:00+05:30,0,BUY_CE,scout,False,24750,152.8,2025-10-03 12:15:00+05:30,142.18,SL Hit,142.18,142.18,False,-10.62,-796.5
2025-10-03 12:30:00+05:30,2025-10-03 12:30:00+05:30,0,BUY_PE,scout,False,24750,48.4,2025-10-03 12:40:00+05:30,43.22,SL Hit,43.22,43.22,False,-5.18,-388.5
2025-10-03 12:45:00+05:30,2025-10-03 12:45:00+05:30,0,BUY_CE,scout,False,24750,138.2,2025-10-03 14:10:00+05:30,126.95,SL Hit,126.95,126.95,False,-11.25,-843.75
2025-10-03 14:15:00+05:30,2025-10-03 14:15:00+05:30,0,BUY_PE,scout,False,24750,42.85,2025-10-03 14:25:00+05:30,38.58,SL Hit,38.58,38.58,False,-4.27,-320.25
2025-10-03 14:30:00+05:30,2025-10-03 14:30:00+05:30,0,BUY_CE,rumbling,True,24750,142.3,2025-10-03 15:25:00+05:30,188.75,EOD Exit,142.3,132.89,True,46.45,3483.75
2025-10-06 11:30:00+05:30,2025-10-06 11:30:00+05:30,0,BUY_CE,scout,False,24900,140.4,2025-10-06 11:50:00+05:30,129.49,SL Hit,129.49,129.49,False,-10.91,-818.25
2025-10-06 12:05:00+05:30,2025-10-06 12:05:00+05:30,0,BUY_CE,rumbling,True,24900,138.5,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,138.5,128.44,False,62.7,4702.5
