EntryTime,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-26 13:20:00+05:30,SELL_PE,24800,86.5,2025-09-26 13:30:00+05:30,95.71,SL Hit,95.71,95.71,False,-9.21,-690.75
2025-09-29 13:00:00+05:30,BUY_CE,24750,43.25,2025-09-29 13:40:00+05:30,56.25,SL Hit,56.25,34.81,True,13.0,975.0
2025-09-29 14:40:00+05:30,SELL_PE,24750,79.85,2025-09-29 14:40:00+05:30,66.85,SL Hit,66.85,97.93,True,13.0,975.0
2025-09-30 11:00:00+05:30,BUY_CE,24700,32.75,2025-09-30 11:40:00+05:30,21.79,SL Hit,21.79,21.79,False,-10.96,-822.0
2025-09-30 13:00:00+05:30,SELL_PE,24700,59.4,2025-09-30 13:05:00+05:30,45.6,MACD/EMA Exit,46.4,78.78,True,13.8,1035.0
2025-09-30 14:40:00+05:30,BUY_CE,24700,3.4,2025-09-30 15:25:00+05:30,0.05,EOD Exit,-1.35,-1.35,False,-3.35,-251.25
2025-10-01 14:05:00+05:30,BUY_CE,24600,280.25,2025-10-01 15:05:00+05:30,293.25,SL Hit,293.25,259.75,True,13.0,975.0
2025-10-03 10:30:00+05:30,BUY_CE,24750,139.0,2025-10-03 12:15:00+05:30,152.0,SL Hit,152.0,116.48,True,13.0,975.0
2025-10-03 12:30:00+05:30,SELL_PE,24750,48.4,2025-10-03 14:35:00+05:30,27.6,MACD/EMA Exit,35.4,56.16,True,20.8,1560.0
2025-10-06 12:55:00+05:30,BUY_CE,24900,166.05,2025-10-06 13:50:00+05:30,201.2,MACD/EMA Exit,179.05,152.4,True,35.15,2636.25
2025-10-07 12:10:00+05:30,BUY_CE,25100,72.85,2025-10-07 14:15:00+05:30,107.15,MACD/EMA Exit,85.85,50.25,True,34.3,2572.5
2025-10-08 10:20:00+05:30,SELL_PE,25100,81.5,2025-10-08 10:55:00+05:30,94.97,SL Hit,94.97,94.97,False,-13.47,-1010.25
2025-10-08 14:05:00+05:30,SELL_PE,25100,101.2,2025-10-08 14:05:00+05:30,88.2,SL Hit,88.2,117.11,True,13.0,975.0
2025-10-09 10:25:00+05:30,BUY_CE,25050,132.35,2025-10-09 10:35:00+05:30,145.35,SL Hit,145.35,107.3,True,13.0,975.0
2025-10-09 14:15:00+05:30,SELL_PE,25050,44.75,2025-10-09 15:25:00+05:30,30.1,EOD Exit,31.75,51.02,True,14.65,1098.75
2025-10-10 12:50:00+05:30,BUY_CE,25150,242.35,2025-10-10 14:15:00+05:30,223.39,SL Hit,223.39,223.39,False,-18.96,-1422.0
2025-10-14 12:05:00+05:30,SELL_PE,25300,184.65,2025-10-14 12:05:00+05:30,171.65,SL Hit,171.65,218.01,True,13.0,975.0
2025-10-14 13:05:00+05:30,SELL_PE,25300,229.7,2025-10-14 13:05:00+05:30,216.7,SL Hit,216.7,266.02,True,13.0,975.0
2025-10-15 13:00:00+05:30,BUY_CE,25200,241.2,2025-10-15 13:15:00+05:30,254.2,SL Hit,254.2,225.41,True,13.0,975.0
2025-10-16 12:20:00+05:30,BUY_CE,25400,177.15,2025-10-16 12:45:00+05:30,190.15,SL Hit,190.15,163.27,True,13.0,975.0
2025-10-16 13:25:00+05:30,BUY_CE,25400,203.6,2025-10-16 13:50:00+05:30,216.6,SL Hit,216.6,185.2,True,13.0,975.0
2025-10-16 14:00:00+05:30,BUY_CE,25400,225.35,2025-10-16 14:15:00+05:30,238.35,SL Hit,238.35,208.46,True,13.0,975.0
2025-10-20 10:50:00+05:30,BUY_CE,25800,113.65,2025-10-20 11:35:00+05:30,80.33,SL Hit,80.33,80.33,False,-33.32,-2499.0
2025-10-20 12:50:00+05:30,BUY_CE,25800,100.45,2025-10-20 13:15:00+05:30,113.45,SL Hit,113.45,80.86,True,13.0,975.0
