SignalTime,EntryTime,Slippage_Sec,Side,Strike,EntryPrice,ExitTime,ExitPrice,ExitReason,SL_Value,Initial_SL,TP1_Hit,PnL_Points,PnL_INR
2025-09-25 10:40:00+05:30,2025-09-25 10:40:00+05:30,0,SELL_PE,25050,100.8,2025-09-25 11:20:00+05:30,83.65,MACD/EMA Exit,92.8,115.17,True,17.15,1286.25
2025-09-25 11:25:00+05:30,2025-09-25 11:25:00+05:30,0,BUY_CE,25050,105.5,2025-09-25 11:40:00+05:30,93.68,SL Hit,93.68,93.68,False,-11.82,-886.5
2025-09-25 11:45:00+05:30,2025-09-25 11:45:00+05:30,0,SELL_PE,25050,106.1,2025-09-25 12:40:00+05:30,121.09,SL Hit,121.09,121.09,False,-14.99,-1124.25
2025-09-25 14:10:00+05:30,2025-09-25 14:10:00+05:30,0,SELL_PE,25050,111.85,2025-09-25 14:55:00+05:30,125.64,SL Hit,125.64,125.64,False,-13.79,-1034.25
2025-09-25 15:00:00+05:30,2025-09-25 15:00:00+05:30,0,SELL_PE,25050,147.0,2025-09-25 15:00:00+05:30,139.0,SL Hit,139.0,165.9,True,8.0,600.0
2025-09-25 15:05:00+05:30,2025-09-25 15:05:00+05:30,0,SELL_PE,25050,148.5,2025-09-25 15:10:00+05:30,140.5,SL Hit,140.5,167.68,True,8.0,600.0
2025-09-26 10:55:00+05:30,2025-09-26 10:55:00+05:30,0,SELL_PE,24800,72.65,2025-09-26 11:15:00+05:30,81.05,SL Hit,81.05,81.05,False,-8.4,-630.0
2025-09-26 11:20:00+05:30,2025-09-26 11:20:00+05:30,0,SELL_PE,24800,78.35,2025-09-26 12:50:00+05:30,70.35,SL Hit,70.35,89.16,True,8.0,600.0
2025-09-26 13:15:00+05:30,2025-09-26 13:15:00+05:30,0,SELL_PE,24800,83.75,2025-09-26 13:30:00+05:30,92.76,SL Hit,92.76,92.76,False,-9.01,-675.75
2025-09-26 13:35:00+05:30,2025-09-26 13:35:00+05:30,0,SELL_PE,24800,107.5,2025-09-26 13:50:00+05:30,121.46,SL Hit,121.46,121.46,False,-13.96,-1047.0
2025-09-26 13:55:00+05:30,2025-09-26 13:55:00+05:30,0,SELL_PE,24800,151.05,2025-09-26 13:55:00+05:30,143.05,SL Hit,143.05,177.4,True,8.0,600.0
2025-09-26 14:00:00+05:30,2025-09-26 14:00:00+05:30,0,SELL_PE,24800,169.55,2025-09-26 14:00:00+05:30,161.55,SL Hit,161.55,199.71,True,8.0,600.0
2025-09-29 11:05:00+05:30,2025-09-29 11:05:00+05:30,0,BUY_CE,24750,97.85,2025-09-29 11:30:00+05:30,80.18,SL Hit,80.18,80.18,False,-17.67,-1325.25
2025-09-29 11:35:00+05:30,2025-09-29 11:35:00+05:30,0,SELL_PE,24750,77.5,2025-09-29 11:35:00+05:30,69.5,SL Hit,69.5,91.04,True,8.0,600.0
2025-09-29 11:40:00+05:30,2025-09-29 11:40:00+05:30,0,SELL_PE,24750,77.85,2025-09-29 11:45:00+05:30,93.34,SL Hit,93.34,93.34,False,-15.49,-1161.75
2025-09-29 12:40:00+05:30,2025-09-29 12:40:00+05:30,0,SELL_PE,24750,127.1,2025-09-29 13:00:00+05:30,89.5,MACD/EMA Exit,119.1,147.69,True,37.6,2820.0
2025-09-29 13:10:00+05:30,2025-09-29 13:10:00+05:30,0,BUY_CE,24750,50.95,2025-09-29 14:05:00+05:30,63.95,SL Hit,63.95,41.32,True,13.0,975.0
2025-09-29 14:40:00+05:30,2025-09-29 14:40:00+05:30,0,SELL_PE,24750,79.85,2025-09-29 14:40:00+05:30,71.85,SL Hit,71.85,97.44,True,8.0,600.0
2025-09-29 14:45:00+05:30,2025-09-29 14:45:00+05:30,0,SELL_PE,24750,88.25,2025-09-29 14:45:00+05:30,80.25,SL Hit,80.25,107.73,True,8.0,600.0
2025-09-29 14:50:00+05:30,2025-09-29 14:50:00+05:30,0,SELL_PE,24750,80.15,2025-09-29 15:00:00+05:30,100.23,SL Hit,100.23,100.23,False,-20.08,-1506.0
2025-09-29 15:05:00+05:30,2025-09-29 15:05:00+05:30,0,SELL_PE,24750,99.05,2025-09-29 15:10:00+05:30,91.05,SL Hit,91.05,123.7,True,8.0,600.0
2025-09-30 10:10:00+05:30,2025-09-30 10:10:00+05:30,0,SELL_PE,24700,80.5,2025-09-30 10:20:00+05:30,72.5,SL Hit,72.5,103.64,True,8.0,600.0
2025-09-30 10:30:00+05:30,2025-09-30 10:30:00+05:30,0,SELL_PE,24700,92.15,2025-09-30 10:35:00+05:30,115.69,SL Hit,115.69,115.69,False,-23.54,-1765.5
2025-09-30 11:00:00+05:30,2025-09-30 11:00:00+05:30,0,BUY_CE,24700,32.75,2025-09-30 11:40:00+05:30,23.13,SL Hit,23.13,23.13,False,-9.62,-721.5
2025-09-30 11:45:00+05:30,2025-09-30 11:45:00+05:30,0,SELL_PE,24700,69.5,2025-09-30 12:05:00+05:30,61.5,SL Hit,61.5,95.5,True,8.0,600.0
2025-09-30 12:15:00+05:30,2025-09-30 12:15:00+05:30,0,BUY_CE,24700,28.05,2025-09-30 13:00:00+05:30,19.12,SL Hit,19.12,19.12,False,-8.93,-669.75
2025-09-30 13:30:00+05:30,2025-09-30 13:30:00+05:30,0,SELL_PE,24700,66.45,2025-09-30 13:50:00+05:30,58.45,SL Hit,58.45,90.69,True,8.0,600.0
2025-09-30 14:10:00+05:30,2025-09-30 14:10:00+05:30,0,SELL_PE,24700,82.5,2025-09-30 14:10:00+05:30,74.5,SL Hit,74.5,109.33,True,8.0,600.0
2025-09-30 14:15:00+05:30,2025-09-30 14:15:00+05:30,0,SELL_PE,24700,111.05,2025-09-30 14:15:00+05:30,103.05,SL Hit,103.05,143.28,True,8.0,600.0
2025-10-01 09:45:00+05:30,2025-10-01 09:45:00+05:30,0,BUY_CE,24600,199.05,2025-10-01 10:00:00+05:30,174.66,SL Hit,174.66,174.66,False,-24.39,-1829.25
2025-10-01 10:05:00+05:30,2025-10-01 10:05:00+05:30,0,SELL_PE,24600,78.9,2025-10-01 10:30:00+05:30,64.8,MACD/EMA Exit,70.9,93.76,True,14.1,1057.5
2025-10-01 10:55:00+05:30,2025-10-01 10:55:00+05:30,0,BUY_CE,24600,171.8,2025-10-01 12:25:00+05:30,266.9,MACD/EMA Exit,184.8,152.32,True,95.1,7132.5
2025-10-01 12:55:00+05:30,2025-10-01 12:55:00+05:30,0,SELL_PE,24600,44.15,2025-10-01 14:05:00+05:30,32.65,MACD/EMA Exit,36.15,49.72,True,11.5,862.5
2025-10-01 14:20:00+05:30,2025-10-01 14:20:00+05:30,0,BUY_CE,24600,288.5,2025-10-01 14:55:00+05:30,301.5,SL Hit,301.5,266.29,True,13.0,975.0
2025-10-03 09:50:00+05:30,2025-10-03 09:50:00+05:30,0,BUY_CE,24750,144.5,2025-10-03 10:40:00+05:30,118.35,SL Hit,118.35,118.35,False,-26.15,-1961.25
2025-10-03 11:05:00+05:30,2025-10-03 11:05:00+05:30,0,BUY_CE,24750,128.95,2025-10-03 11:15:00+05:30,141.95,SL Hit,141.95,111.24,True,13.0,975.0
2025-10-03 11:20:00+05:30,2025-10-03 11:20:00+05:30,0,BUY_CE,24750,139.2,2025-10-03 12:15:00+05:30,152.2,SL Hit,152.2,123.15,True,13.0,975.0
2025-10-03 12:30:00+05:30,2025-10-03 12:30:00+05:30,0,SELL_PE,24750,48.4,2025-10-03 12:45:00+05:30,40.4,SL Hit,40.4,58.14,True,8.0,600.0
